Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,,2017-05-15 20:27:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,,0
1,1,1,1,1,,2017-05-15 20:27:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
2,2,2,2,2,,2017-05-15 20:28:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
3,3,3,3,3,,2017-05-15 20:28:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
4,4,4,4,4,,2017-05-15 20:29:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
5,5,5,5,5,,2017-05-15 20:29:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
6,6,6,6,6,,2017-05-15 20:30:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
7,7,7,7,7,,2017-05-15 20:30:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
8,8,8,8,8,,2017-05-15 20:31:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
9,9,9,9,9,,2017-05-15 20:31:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
10,10,10,10,10,,2017-05-15 20:32:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
11,11,11,11,11,,2017-05-15 20:32:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
12,12,12,12,12,,2017-05-15 20:33:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
13,13,13,13,13,,2017-05-15 20:33:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
14,14,14,14,14,,2017-05-15 20:34:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
15,15,15,15,15,,2017-05-15 20:34:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
16,16,16,16,16,,2017-05-15 20:35:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
17,17,17,17,17,,2017-05-15 20:35:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
18,18,18,18,18,,2017-05-15 20:36:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
19,19,19,19,19,,2017-05-15 20:36:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
20,20,20,20,20,,2017-05-15 20:37:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
21,21,21,21,21,,2017-05-15 20:37:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
22,22,22,22,22,,2017-05-15 20:38:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
23,23,23,23,23,,2017-05-15 20:38:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
24,24,24,24,24,,2017-05-15 20:39:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
25,25,25,25,25,,2017-05-15 20:39:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
26,26,26,26,26,,2017-05-15 20:40:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
27,27,27,27,27,,2017-05-15 20:40:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
28,28,28,28,28,,2017-05-15 20:41:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
29,29,29,29,29,,2017-05-15 20:41:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
30,30,30,30,30,,2017-05-15 20:42:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
31,31,31,31,31,,2017-05-15 20:42:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
32,32,32,32,32,,2017-05-15 20:43:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
33,33,33,33,33,,2017-05-15 20:43:00,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距湖南华力通线缆股份有限公司 约54米,距长沙艾森设备维护技术有限公司 约54米",112.67278,28.277965999999996,0.0,0
