Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,1,1,1,1,,2017-05-28 00:04:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
1,2,2,2,2,,2017-05-28 00:07:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
2,3,3,3,3,,2017-05-28 00:10:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
3,4,4,4,4,,2017-05-28 00:13:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
4,5,5,5,5,,2017-05-28 00:17:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
5,6,6,6,6,,2017-05-28 00:20:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
6,7,7,7,7,,2017-05-28 00:23:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
7,8,8,8,8,,2017-05-28 00:26:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
8,9,9,9,9,,2017-05-28 00:30:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
9,10,10,10,10,,2017-05-28 00:33:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
10,11,11,11,11,,2017-05-28 00:36:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
11,12,12,12,12,,2017-05-28 00:39:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
12,13,13,13,13,,2017-05-28 00:43:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
13,14,14,14,14,,2017-05-28 00:46:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
14,15,15,15,15,,2017-05-28 00:49:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
15,16,16,16,16,,2017-05-28 00:53:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
16,17,17,17,17,,2017-05-28 00:56:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
17,18,18,18,18,,2017-05-28 00:59:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
18,19,19,19,19,,2017-05-28 01:02:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
19,20,20,20,20,,2017-05-28 01:06:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
20,21,21,21,21,,2017-05-28 01:09:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
21,22,22,22,22,,2017-05-28 01:12:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
22,23,23,23,23,,2017-05-28 01:15:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
23,24,24,24,24,,2017-05-28 01:19:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
24,25,25,25,25,,2017-05-28 01:22:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
25,26,26,26,26,,2017-05-28 01:24:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
26,27,27,27,27,,2017-05-28 01:28:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
27,28,28,28,28,,2017-05-28 01:31:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
28,29,29,29,29,,2017-05-28 01:35:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
29,30,30,30,30,,2017-05-28 01:38:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
30,31,31,31,31,,2017-05-28 01:41:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
31,32,32,32,32,,2017-05-28 01:44:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
32,33,33,33,33,,2017-05-28 01:48:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
33,34,34,34,34,,2017-05-28 01:51:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
34,35,35,35,35,,2017-05-28 01:54:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
35,36,36,36,36,,2017-05-28 01:57:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
36,37,37,37,37,,2017-05-28 02:01:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
37,38,38,38,38,,2017-05-28 02:04:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
38,39,39,39,39,,2017-05-28 02:07:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
39,40,40,40,40,,2017-05-28 02:11:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
40,41,41,41,41,,2017-05-28 02:14:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
41,42,42,42,42,,2017-05-28 02:17:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
42,43,43,43,43,,2017-05-28 02:20:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距长沙紫鑫四季酒店 约242米,距五季优选超市 约229米",113.08176999999999,28.2324,0.0,0
