Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,long,Latitude,lat,Distance_geopy,Distance traveled (km)
0,0,0,0,0,,2017-06-15 08:27:22,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路,距五季优选超市 约180米,距长沙紫鑫四季酒店 约193米",113,82275,28,23242,,0
1,1,1,1,1,,2017-06-15 08:28:11,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
2,2,2,2,2,,2017-06-15 08:28:59,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
3,3,3,3,3,,2017-06-15 08:29:47,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
4,4,4,4,4,,2017-06-15 08:30:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
5,5,5,5,5,,2017-06-15 08:31:23,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
6,6,6,6,6,,2017-06-15 08:32:10,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
7,7,7,7,7,,2017-06-15 08:32:59,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
8,8,8,8,8,,2017-06-15 08:33:47,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
9,9,9,9,9,,2017-06-15 08:34:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
10,10,10,10,10,,2017-06-15 08:35:24,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
11,11,11,11,11,,2017-06-15 08:36:08,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
12,12,12,12,12,,2017-06-15 08:36:57,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
13,13,13,13,13,,2017-06-15 08:37:44,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
14,14,14,14,14,,2017-06-15 08:38:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
15,15,15,15,15,,2017-06-15 08:39:20,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
16,16,16,16,16,,2017-06-15 08:42:16,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
17,17,17,17,17,,2017-06-15 08:45:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
18,18,18,18,18,,2017-06-15 08:48:48,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
19,19,19,19,19,,2017-06-15 08:52:04,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
20,20,20,20,20,,2017-06-15 08:55:20,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
21,21,21,21,21,,2017-06-15 08:58:36,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
22,22,22,22,22,,2017-06-15 09:01:53,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
23,23,23,23,23,,2017-06-15 09:05:09,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
24,24,24,24,24,,2017-06-15 09:08:25,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
25,25,25,25,25,,2017-06-15 09:11:41,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
26,26,26,26,26,,2017-06-15 09:14:56,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
27,27,27,27,27,,2017-06-15 09:15:52,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
28,28,28,28,28,,2017-06-15 09:19:25,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
29,29,29,29,29,,2017-06-15 09:22:41,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
30,30,30,30,30,,2017-06-15 09:25:57,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
31,31,31,31,31,,2017-06-15 09:29:13,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
32,32,32,32,32,,2017-06-15 09:32:29,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
33,33,33,33,33,,2017-06-15 09:35:45,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
34,34,34,34,34,,2017-06-15 09:39:02,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
35,35,35,35,35,,2017-06-15 09:42:18,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
36,36,36,36,36,,2017-06-15 09:45:34,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
37,37,37,37,37,,2017-06-15 09:48:50,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
38,38,38,38,38,,2017-06-15 09:52:06,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
39,39,39,39,39,,2017-06-15 09:55:23,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
40,40,40,40,40,,2017-06-15 09:58:39,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
41,41,41,41,41,,2017-06-15 10:01:55,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
42,42,42,42,42,,2017-06-15 10:05:12,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
43,43,43,43,43,,2017-06-15 10:08:28,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
44,44,44,44,44,,2017-06-15 10:11:44,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
45,45,45,45,45,,2017-06-15 10:15:00,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
46,46,46,46,46,,2017-06-15 10:18:16,0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距五季优选超市 约161米,距长沙紫鑫四季酒店 约175米",113,8247,28,232395,0.0,0
