,Unnamed: 0,Unnamed: 0.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,,2017-04-24 08:00:03,0.0,0,"ACC开,3D定位,天线正常","内蒙古自治区锡林郭勒盟锡林浩特市,距锡林浩特站 约467米,距锡林浩特站-出站口 约445米",116.027791,43.92459,,0
1,1,1,,2017-04-24 08:01:03,0.0,0,"ACC开,3D定位,天线正常","内蒙古自治区锡林郭勒盟锡林浩特市,距锡林浩特站 约467米,距锡林浩特站-出站口 约445米",116.027791,43.92459,0.0,0
2,2,2,,2017-04-24 08:02:03,0.0,0,"ACC开,3D定位,天线正常","内蒙古自治区锡林郭勒盟锡林浩特市,距锡林浩特站 约467米,距锡林浩特站-出站口 约445米",116.027791,43.92459,0.0,0
3,3,3,,2017-04-24 08:03:03,0.0,0,"ACC开,3D定位,天线正常","内蒙古自治区锡林郭勒盟锡林浩特市,距锡林浩特站 约467米,距锡林浩特站-出站口 约445米",116.027791,43.92459,0.0,0
4,4,4,,2017-04-24 08:04:03,0.0,0,"ACC开,3D定位,天线正常","内蒙古自治区锡林郭勒盟锡林浩特市,距锡林浩特站 约467米,距锡林浩特站-出站口 约445米",116.027791,43.92459,0.0,0
5,5,5,,2017-04-24 08:05:03,0.0,0,"ACC开,3D定位,天线正常","内蒙古自治区锡林郭勒盟锡林浩特市,距锡林浩特站 约467米,距锡林浩特站-出站口 约445米",116.027791,43.92459,0.0,0
6,6,6,,2017-04-24 08:06:03,0.0,0,"ACC开,3D定位,天线正常","内蒙古自治区锡林郭勒盟锡林浩特市,距锡林浩特站 约467米,距锡林浩特站-出站口 约445米",116.027791,43.92459,0.0,0
7,7,7,,2017-04-24 08:07:03,0.0,0,"ACC开,3D定位,天线正常","内蒙古自治区锡林郭勒盟锡林浩特市,距锡林浩特站 约467米,距锡林浩特站-出站口 约445米",116.027791,43.92459,0.0,0
8,8,8,,2017-04-24 08:08:03,0.0,0,"ACC开,3D定位,天线正常","内蒙古自治区锡林郭勒盟锡林浩特市,距锡林浩特站 约467米,距锡林浩特站-出站口 约445米",116.027791,43.92459,0.0,0
9,9,9,,2017-04-24 08:09:03,0.0,0,"ACC开,3D定位,天线正常","内蒙古自治区锡林郭勒盟锡林浩特市,距锡林浩特站 约467米,距锡林浩特站-出站口 约445米",116.027791,43.92459,0.0,0
