Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,,2017-05-11 11:23:08,0.0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约332米",111.640271,29.162181,,0
1,1,1,,2017-05-11 11:23:38,0.0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约332米",111.640271,29.162181,0.0,0
2,2,2,,2017-05-11 11:24:08,0.0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约332米",111.640271,29.162181,0.0,0
3,3,3,,2017-05-11 11:24:38,0.0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约332米",111.640271,29.162181,0.0,0
4,4,4,,2017-05-11 11:25:08,0.0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约332米",111.640271,29.162181,0.0,0
5,5,5,,2017-05-11 11:25:38,0.0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约332米",111.640271,29.162181,0.0,0
6,6,6,,2017-05-11 11:26:08,0.0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约332米",111.640271,29.162181,0.0,0
7,7,7,,2017-05-11 11:26:38,0.0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约332米",111.640271,29.162181,0.0,0
8,8,8,,2017-05-11 11:27:08,0.0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约332米",111.640271,29.162181,0.0,0
9,9,9,,2017-05-11 11:27:38,0.0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约332米",111.640271,29.162181,0.0,0
10,10,10,,2017-05-11 11:28:08,0.0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约188米,距石板滩中学 约332米",111.640271,29.162181,0.0,0
