Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,,2017-05-24 09:24:57,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,,0
1,1,1,1,1,1,,2017-05-24 09:25:44,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
2,2,2,2,2,2,,2017-05-24 09:26:32,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
3,3,3,3,3,3,,2017-05-24 09:27:20,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
4,4,4,4,4,4,,2017-05-24 09:28:09,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
5,5,5,5,5,5,,2017-05-24 09:28:55,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
6,6,6,6,6,6,,2017-05-24 09:29:43,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
7,7,7,7,7,7,,2017-05-24 09:30:31,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
8,8,8,8,8,8,,2017-05-24 09:32:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
9,9,9,9,9,9,,2017-05-24 09:32:49,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
10,10,10,10,10,10,,2017-05-24 09:33:37,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
11,11,11,11,11,11,,2017-05-24 09:34:57,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
12,12,12,12,12,12,,2017-05-24 09:38:13,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
13,13,13,13,13,13,,2017-05-24 09:39:08,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
14,14,14,14,14,14,,2017-05-24 09:39:56,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
15,15,15,15,15,15,,2017-05-24 09:40:44,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
16,16,16,16,16,16,,2017-05-24 09:41:33,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
17,17,17,17,17,17,,2017-05-24 09:42:20,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
18,18,18,18,18,18,,2017-05-24 09:43:08,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
19,19,19,19,19,19,,2017-05-24 09:44:28,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
20,20,20,20,20,20,,2017-05-24 09:45:25,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约527米,距万嘉物流 约621米",111.65776,28.985962,0.0,0
