Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,0,0,0,0,0,0,,2017-04-27 16:38:05,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约215米,距邦普循环科技园 约326米",112.67198,28.276386,,0
1,1,1,1,1,1,1,1,1,1,1,1,,2017-04-27 16:41:21,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约215米,距邦普循环科技园 约326米",112.67198,28.276386,0.0,0
2,2,2,2,2,2,2,2,2,2,2,2,,2017-04-27 16:44:37,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约215米,距邦普循环科技园 约326米",112.67198,28.276386,0.0,0
3,3,3,3,3,3,3,3,3,3,3,3,,2017-04-27 16:47:53,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约215米,距邦普循环科技园 约326米",112.67198,28.276386,0.0,0
4,4,4,4,4,4,4,4,4,4,4,4,,2017-04-27 16:51:09,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约215米,距邦普循环科技园 约326米",112.67198,28.276386,0.0,0
5,5,5,5,5,5,5,5,5,5,5,5,,2017-04-27 16:54:26,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约215米,距邦普循环科技园 约326米",112.67198,28.276386,0.0,0
6,6,6,6,6,6,6,6,6,6,6,6,,2017-04-27 16:57:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约215米,距邦普循环科技园 约326米",112.67198,28.276386,0.0,0
7,7,7,7,7,7,7,7,7,7,7,7,,2017-04-27 17:00:58,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约215米,距邦普循环科技园 约326米",112.67198,28.276386,0.0,0
8,8,8,8,8,8,8,8,8,8,8,8,,2017-04-27 17:04:15,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约215米,距邦普循环科技园 约326米",112.67198,28.276386,0.0,0
9,9,9,9,9,9,9,9,9,9,9,9,,2017-04-27 17:07:30,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约215米,距邦普循环科技园 约326米",112.67198,28.276386,0.0,0
