Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,2017-06-01 00:05:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,,0
1,1,1,1,1,1,2017-06-01 00:09:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
2,2,2,2,2,2,2017-06-01 00:12:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
3,3,3,3,3,3,2017-06-01 00:15:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
4,4,4,4,4,4,2017-06-01 00:20:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
5,5,5,5,5,5,2017-06-01 00:23:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
6,6,6,6,6,6,2017-06-01 00:26:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
7,7,7,7,7,7,2017-06-01 00:30:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
8,8,8,8,8,8,2017-06-01 00:34:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
9,9,9,9,9,9,2017-06-01 00:38:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
10,10,10,10,10,10,2017-06-01 00:41:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
11,11,11,11,11,11,2017-06-01 00:44:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
12,12,12,12,12,12,2017-06-01 00:49:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
13,13,13,13,13,13,2017-06-01 00:52:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
14,14,14,14,14,14,2017-06-01 00:55:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
15,15,15,15,15,15,2017-06-01 00:59:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
16,16,16,16,16,16,2017-06-01 01:03:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
17,17,17,17,17,17,2017-06-01 01:06:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
18,18,18,18,18,18,2017-06-01 01:10:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
19,19,19,19,19,19,2017-06-01 01:19:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
20,20,20,20,20,20,2017-06-01 01:22:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
21,21,21,21,21,21,2017-06-01 01:25:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
22,22,22,22,22,22,2017-06-01 01:28:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
23,23,23,23,23,23,2017-06-01 01:33:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
24,24,24,24,24,24,2017-06-01 01:36:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
25,25,25,25,25,25,2017-06-01 01:40:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
26,26,26,26,26,26,2017-06-01 01:43:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
27,27,27,27,27,27,2017-06-01 01:47:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
28,28,28,28,28,28,2017-06-01 01:51:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
29,29,29,29,29,29,2017-06-01 01:54:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
30,30,30,30,30,30,2017-06-01 01:57:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
31,31,31,31,31,31,2017-06-01 02:02:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
32,32,32,32,32,32,2017-06-01 02:05:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
33,33,33,33,33,33,2017-06-01 02:08:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
34,34,34,34,34,34,2017-06-01 02:11:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
35,35,35,35,35,35,2017-06-01 02:17:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
36,36,36,36,36,36,2017-06-01 02:20:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
37,37,37,37,37,37,2017-06-01 02:24:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
38,38,38,38,38,38,2017-06-01 02:27:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
39,39,39,39,39,39,2017-06-01 02:32:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
40,40,40,40,40,40,2017-06-01 02:35:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
41,41,41,41,41,41,2017-06-01 02:38:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
42,42,42,42,42,42,2017-06-01 02:41:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
43,43,43,43,43,43,2017-06-01 02:46:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
44,44,44,44,44,44,2017-06-01 02:50:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
45,45,45,45,45,45,2017-06-01 02:53:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
46,46,46,46,46,46,2017-06-01 03:01:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
47,47,47,47,47,47,2017-06-01 03:04:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
48,48,48,48,48,48,2017-06-01 03:08:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
49,49,49,49,49,49,2017-06-01 03:11:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
50,50,50,50,50,50,2017-06-01 03:16:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
51,51,51,51,51,51,2017-06-01 03:19:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
52,52,52,52,52,52,2017-06-01 03:22:00,0,0,"ACC开,3D定位,天线正常","辽宁省辽阳市宏伟区宏伟路,距辽阳科技创业服务中心 约401米,距辽阳芳烃技术研究院 约410米",123.215164,41.240307,0.0,0
