Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,0,0,0,0,0,0,,2017-06-15 00:02:23,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,,0
1,1,1,1,1,1,1,1,1,1,1,1,,2017-06-15 00:05:40,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
2,2,2,2,2,2,2,2,2,2,2,2,,2017-06-15 00:08:57,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
3,3,3,3,3,3,3,3,3,3,3,3,,2017-06-15 00:12:13,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
4,4,4,4,4,4,4,4,4,4,4,4,,2017-06-15 00:15:29,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
5,5,5,5,5,5,5,5,5,5,5,5,,2017-06-15 00:18:45,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
6,6,6,6,6,6,6,6,6,6,6,6,,2017-06-15 00:22:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
7,7,7,7,7,7,7,7,7,7,7,7,,2017-06-15 00:25:18,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
8,8,8,8,8,8,8,8,8,8,8,8,,2017-06-15 00:28:34,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
9,9,9,9,9,9,9,9,9,9,9,9,,2017-06-15 00:31:50,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
10,10,10,10,10,10,10,10,10,10,10,10,,2017-06-15 00:35:06,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
11,11,11,11,11,11,11,11,11,11,11,11,,2017-06-15 00:38:22,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
12,12,12,12,12,12,12,12,12,12,12,12,,2017-06-15 00:41:39,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
13,13,13,13,13,13,13,13,13,13,13,13,,2017-06-15 00:44:55,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
14,14,14,14,14,14,14,14,14,14,14,14,,2017-06-15 00:48:11,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
15,15,15,15,15,15,15,15,15,15,15,15,,2017-06-15 00:51:27,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
16,16,16,16,16,16,16,16,16,16,16,16,,2017-06-15 00:54:42,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
17,17,17,17,17,17,17,17,17,17,17,17,,2017-06-15 00:57:59,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
18,18,18,18,18,18,18,18,18,18,18,18,,2017-06-15 01:01:16,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
19,19,19,19,19,19,19,19,19,19,19,19,,2017-06-15 01:04:32,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
20,20,20,20,20,20,20,20,20,20,20,20,,2017-06-15 01:07:48,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
21,21,21,21,21,21,21,21,21,21,21,21,,2017-06-15 01:11:04,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
22,22,22,22,22,22,22,22,22,22,22,22,,2017-06-15 01:14:20,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约515米,距万嘉物流 约612米",111.65785,28.986027000000004,0.0,0
