Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
1,1,1,1,,2017-06-22 13:22:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约180米,距石板滩中学 约293米",111.63993,29.162382,0.0,0
2,2,2,2,,2017-06-22 13:22:37,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约180米,距石板滩中学 约293米",111.63993,29.162382,0.0,0
3,3,3,3,,2017-06-22 13:23:09,14,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约194米,距石板滩中学 约308米",111.64015,29.162382,21.36205263194631,0
4,4,4,4,,2017-06-22 13:23:41,15,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约190米,距鼎城永欣机械制造公司 约208米",111.6391,29.16297,121.11858810227504,0
5,5,5,5,,2017-06-22 13:24:13,28,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约167米,距鼎城永欣机械制造公司 约263米",111.63701999999999,29.16293,202.01635000303227,0
6,6,6,6,,2017-06-22 13:24:45,21,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距石板滩中学 约315米,距鼎城永欣机械制造公司 约356米",111.6354,29.16237000000001,169.17851834121203,0
7,7,7,7,,2017-06-22 13:25:18,24,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约323米,距常德金德山水泥有限公司 约404米",111.63561000000001,29.16021,241.04543032092724,0
8,8,8,8,,2017-06-22 13:25:50,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约340米,距常德金德山水泥有限公司 约388米",111.63565,29.159725,54.069304408677816,0
9,9,9,9,,2017-06-22 13:26:22,9,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约343米,距常德金德山水泥有限公司 约386米",111.63566000000002,29.15965,8.395971951493836,0
10,10,10,10,,2017-06-22 13:26:54,19,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约345米,距鼎城永欣机械制造公司 约404米",111.63621,29.158240999999997,165.5264373345269,0
11,11,11,11,,2017-06-22 13:27:26,23,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约474米,距常德市鼎城区石板滩卫生院-预防接种门诊 约511米",111.63557,29.15677,174.9764063650755,0
12,12,12,12,,2017-06-22 13:27:58,21,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约534米,距常德市鼎城区石板滩卫生院-预防接种门诊 约613米",111.63463999999999,29.155357000000002,181.22347192622985,0
13,13,13,13,,2017-06-22 13:28:30,15,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约456米,距大堰 约688米",111.63291000000001,29.154493,193.5263834539691,0
14,14,14,14,,2017-06-22 13:29:02,20,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约452米,距大堰 约596米",111.63152,29.15377,157.10776744696517,0
15,15,15,15,,2017-06-22 13:29:34,14,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约482米,距大堰 约549米",111.63028,29.153212,135.46039096538252,0
16,16,16,16,,2017-06-22 13:30:06,7,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距大堰 约512米,距古堤桥 约533米",111.6297,29.15271,79.29804248938257,0
17,17,17,17,,2017-06-22 13:30:38,49,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距大堰 约363米,距古堤桥 约380米",111.62894399999999,29.150705,234.72282637254528,1
18,18,18,18,,2017-06-22 13:31:10,24,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距古堤桥 约323米,距大堰 约339米",111.62836499999999,29.149548,140.40327592102824,1
19,19,19,19,,2017-06-22 13:31:42,32,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距新堰 约208米,距小堰 约289米",111.627525,29.147270000000002,266.11395211976316,1
20,20,20,20,,2017-06-22 13:32:14,44,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距新堰 约108米,距小堰 约120米",111.62658,29.145016,266.90779516647166,1
21,21,21,21,,2017-06-22 13:32:46,19,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小堰 约356米,距新堰 约407米",111.62531000000001,29.142282,328.0749602356072,1
22,22,22,22,,2017-06-22 13:33:18,0,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小堰 约367米,距新堰 约419米",111.625275,29.14218,11.840314782156515,1
23,23,23,23,,2017-06-22 13:33:50,0,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小堰 约367米,距新堰 约419米",111.625275,29.14218,0.0,1
24,24,24,24,,2017-06-22 13:34:22,0,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小堰 约367米,距新堰 约419米",111.625275,29.14218,0.0,1
25,25,25,25,,2017-06-22 13:34:54,0,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小堰 约367米,距新堰 约419米",111.625275,29.14218,0.0,1
26,26,26,26,,2017-06-22 13:35:26,14,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小堰 约374米,距新堰 约426米",111.62523999999999,29.142117,7.7864306344538665,1
27,27,27,27,,2017-06-22 13:35:58,45,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距皇家湾 约385米,距锥子岗 约541米",111.624306,29.139626,291.4621560574217,1
