Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,0,0,0,,2017-06-03 00:06:12,0,0,"ACC开,3D定位,天线正常","天津市天津市静海县S120(新津涞线),距西赵 约633米",116.78787,38.873886,,0
1,1,1,1,1,1,,2017-06-03 00:09:28,0,0,"ACC开,3D定位,天线正常","天津市天津市静海县S120(新津涞线),距西赵 约633米",116.78787,38.873886,0.0,0
2,2,2,2,2,2,,2017-06-03 00:12:44,0,0,"ACC开,3D定位,天线正常","天津市天津市静海县S120(新津涞线),距西赵 约633米",116.78787,38.873886,0.0,0
3,3,3,3,3,3,,2017-06-03 00:16:00,0,0,"ACC开,3D定位,天线正常","天津市天津市静海县S120(新津涞线),距西赵 约633米",116.78787,38.873886,0.0,0
4,4,4,4,4,4,,2017-06-03 00:19:16,0,0,"ACC开,3D定位,天线正常","天津市天津市静海县S120(新津涞线),距西赵 约633米",116.78787,38.873886,0.0,0
5,5,5,5,5,5,,2017-06-03 00:22:33,0,0,"ACC开,3D定位,天线正常","天津市天津市静海县S120(新津涞线),距西赵 约633米",116.78787,38.873886,0.0,0
6,6,6,6,6,6,,2017-06-03 00:25:49,0,0,"ACC开,3D定位,天线正常","天津市天津市静海县S120(新津涞线),距西赵 约633米",116.78787,38.873886,0.0,0
7,7,7,7,7,7,,2017-06-03 00:29:05,0,0,"ACC开,3D定位,天线正常","天津市天津市静海县S120(新津涞线),距西赵 约633米",116.78787,38.873886,0.0,0
8,8,8,8,8,8,,2017-06-03 00:32:21,0,0,"ACC开,3D定位,天线正常","天津市天津市静海县S120(新津涞线),距西赵 约633米",116.78787,38.873886,0.0,0
9,9,9,9,9,9,,2017-06-03 00:35:37,0,0,"ACC开,3D定位,天线正常","天津市天津市静海县S120(新津涞线),距西赵 约633米",116.78787,38.873886,0.0,0
