Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
1,1,1,1,,2017-06-05 00:00:58,64,0,"ACC开,3D定位,天线正常","河北省邢台市威县,距王王目村 约180米",115.3225,36.95364,909.6101503501362,0
2,2,2,2,,2017-06-05 00:01:46,78,0,"ACC开,3D定位,天线正常","河北省邢台市威县,距威县南服务区-商品街 约757米,距杨家庄村 约758米",115.318954,36.94573,934.2949310601883,0
3,3,3,3,,2017-06-05 00:02:34,70,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距威县南服务区-商品街 约518米,距威县南服务区 约586米",115.31383999999998,36.93784,988.0639282716296,1
4,4,4,4,,2017-06-05 00:03:22,30,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约90米,距苏留寨村 约767米",115.30868000000001,36.932426,756.8021682346617,1
5,5,5,5,,2017-06-05 00:04:10,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,147.09053955485638,1
6,6,6,6,,2017-06-05 00:07:27,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
7,7,7,7,,2017-06-05 00:10:43,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
8,8,8,8,,2017-06-05 00:13:59,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
9,9,9,9,,2017-06-05 00:17:15,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
10,10,10,10,,2017-06-05 00:20:31,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
11,11,11,11,,2017-06-05 00:23:48,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
12,12,12,12,,2017-06-05 00:27:04,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
13,13,13,13,,2017-06-05 00:30:20,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
14,14,14,14,,2017-06-05 00:33:36,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
15,15,15,15,,2017-06-05 00:36:52,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
16,16,16,16,,2017-06-05 00:40:09,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
17,17,17,17,,2017-06-05 00:43:25,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
18,18,18,18,,2017-06-05 00:46:41,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
19,19,19,19,,2017-06-05 00:49:57,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
20,20,20,20,,2017-06-05 00:53:13,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
21,21,21,21,,2017-06-05 00:56:29,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
22,22,22,22,,2017-06-05 00:59:46,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
23,23,23,23,,2017-06-05 01:03:02,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
24,24,24,24,,2017-06-05 01:05:44,0,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约213米,距河北丰悦化工产品有限公司 约699米",115.30743999999999,36.93155,0.0,1
25,25,25,25,,2017-06-05 01:06:32,34,1,"ACC开,3D定位,天线正常","河北省邢台市威县,距马厂村 约432米,距河北丰悦化工产品有限公司 约593米",115.30628,36.929817,218.55144398092807,1
26,26,26,26,,2017-06-05 01:07:20,70,1,"ACC开,3D定位,天线正常","河北省邢台市威县G45(大广高速),距河北丰悦化工产品有限公司 约620米,距威县双赢化工有限公司 约753米",115.30098999999998,36.925087,705.5039343832352,1
27,27,27,27,,2017-06-05 01:08:08,79,2,"ACC开,3D定位,天线正常","河北省邢台市威县G45(大广高速),距高家村 约200米,距威远农资服务超市 约787米",115.29198500000001,36.919109999999996,1040.4390468193174,2
28,28,28,28,,2017-06-05 01:08:56,83,2,"ACC开,3D定位,天线正常","河北省邢台市威县G45(大广高速),距腾达汽车美容店 约219米,距晓雪童装童鞋 约238米",115.28183999999999,36.913826,1076.4108209705528,2
29,29,29,29,,2017-06-05 01:09:44,70,2,"ACC开,3D定位,天线正常","河北省邢台市威县G45(大广高速),距第什营村 约553米,距南韩庄村 约715米",115.27273000000001,36.909126,963.921666838592,2
30,30,30,30,,2017-06-05 01:10:32,74,3,"ACC开,3D定位,天线正常",河北省邢台市威县,115.263466,36.904182,990.2991793281681,3
31,31,31,31,,2017-06-05 01:11:20,75,3,"ACC开,3D定位,天线正常",河北省邢台市威县,115.25493999999999,36.898296,1001.5593055960768,3
32,32,32,32,,2017-06-05 01:12:08,77,3,"ACC开,3D定位,天线正常",河北省邢台市威县,115.2476,36.8915,998.5506070249608,3
33,33,33,33,,2017-06-05 01:12:56,73,4,"ACC开,3D定位,天线正常","河北省邢台市威县,距北刘村 约620米",115.24148000000001,36.883922999999996,1003.0423066149144,4
34,34,34,34,,2017-06-05 01:13:44,72,4,"ACC开,3D定位,天线正常","河北省邢台市威县,距北刘村 约374米,距苏庄村 约626米",115.23695,36.876015,967.2462528100161,4
35,35,35,35,,2017-06-05 01:14:33,74,4,"ACC开,3D定位,天线正常","河北省邯郸市邱县,距南刘村 约509米",115.23378999999998,36.867374,1001.1100592265171,4
36,36,36,36,,2017-06-05 01:15:21,74,5,"ACC开,3D定位,天线正常",河北省邯郸市邱县,115.231384,36.858715000000004,986.3436455940514,5
37,37,37,37,,2017-06-05 01:16:09,76,5,"ACC开,3D定位,天线正常","河北省邯郸市邱县,距刘云固村 约234米,距张云固村 约284米",115.22896599999999,36.849957,997.3274925062124,5
38,38,38,38,,2017-06-05 01:16:57,72,5,"ACC开,3D定位,天线正常","河北省邯郸市邱县,距刘云固村 约792米",115.22543,36.841488,992.8863899539367,5
39,39,39,39,,2017-06-05 01:17:45,74,6,"ACC开,3D定位,天线正常","河北省邯郸市邱县,距新鲜庄村 约570米",115.2207,36.83343,989.9621425296307,6
40,40,40,40,,2017-06-05 01:18:33,72,6,"ACC开,3D定位,天线正常","河北省邯郸市邱县,距邱县新马头镇新太镇小学 约365米,距新太镇村委会 约417米",115.21628999999999,36.825317,983.8142068073587,6
41,41,41,41,,2017-06-05 01:19:21,69,6,"ACC开,3D定位,天线正常","河北省邯郸市邱县振兴路,距邱县第二中学 约316米,距邱县林业局 约485米",115.21348,36.817153999999995,941.517799480925,6
42,42,42,42,,2017-06-05 01:20:09,75,7,"ACC开,3D定位,天线正常","河北省邯郸市邱县,距邱县宣传文化中心 约574米,距邱县人民法院 约592米",115.21185,36.808887,930.6320143173348,7
43,43,43,43,,2017-06-05 01:20:57,76,7,"ACC开,3D定位,天线正常","河北省邯郸市邱县,距河北卓泰农业开发有限公司 约615米,距礼村 约673米",115.20898400000002,36.79983,1038.9167842889487,7
44,44,44,44,,2017-06-05 01:21:45,73,7,"ACC开,3D定位,天线正常","河北省邯郸市邱县,距小郭斗村 约628米",115.20523,36.791317,1003.8885413544357,7
45,45,45,45,,2017-06-05 01:22:33,73,8,"ACC开,3D定位,天线正常","河北省邯郸市邱县,距小郭斗村 约369米,距大郭斗村 约743米",115.20288000000001,36.782646,986.6225800701184,8
46,46,46,46,,2017-06-05 01:23:21,76,8,"ACC开,3D定位,天线正常","河北省邯郸市邱县,距大郭斗村 约503米",115.20147,36.77401,968.4570197884633,8
47,47,47,47,,2017-06-05 01:24:09,76,8,"ACC开,3D定位,天线正常",河北省邯郸市邱县,115.19864,36.765324,998.1933495359683,8
48,48,48,48,,2017-06-05 01:24:57,72,9,"ACC开,3D定位,天线正常",河北省邯郸市邱县,115.195526,36.756878,979.2661339014115,9
49,49,49,49,,2017-06-05 01:25:45,74,9,"ACC开,3D定位,天线正常",河北省邯郸市邱县,115.19461000000001,36.74822,966.1797618404936,9
50,50,50,50,,2017-06-05 01:26:33,71,9,"ACC开,3D定位,天线正常",河北省邯郸市邱县,115.19533,36.739433,979.1750892239256,9
51,51,51,51,,2017-06-05 01:27:21,75,10,"ACC开,3D定位,天线正常",河北省邯郸市邱县,115.19383,36.73096500000001,951.0404322441024,10
52,52,52,52,,2017-06-05 01:28:09,76,10,"ACC开,3D定位,天线正常",河北省邯郸市邱县,115.189415,36.722896999999996,979.6173661640685,10
53,53,53,53,,2017-06-05 01:28:57,75,10,"ACC开,3D定位,天线正常",河北省邯郸市邱县,115.18261000000001,36.7159,986.5192918907376,10
54,54,54,54,,2017-06-05 01:29:45,73,11,"ACC开,3D定位,天线正常",河北省邯郸市邱县,115.17618,36.70865,989.1509864806587,11
55,55,55,55,,2017-06-05 01:30:33,73,11,"ACC开,3D定位,天线正常",河北省邯郸市曲周县,115.1712,36.70067,992.2020237905303,11
56,56,56,56,,2017-06-05 01:31:21,72,11,"ACC开,3D定位,天线正常","河北省邯郸市曲周县,距戚寨村 约599米,距戚寨桥 约740米",115.16758999999999,36.692375,976.906827916001,11
57,57,57,57,,2017-06-05 01:32:10,72,12,"ACC开,3D定位,天线正常","河北省邯郸市曲周县,距戚寨桥 约470米,距戚寨村 约686米",115.16421000000001,36.683743,1006.0409513178392,12
58,58,58,58,,2017-06-05 01:32:58,73,12,"ACC开,3D定位,天线正常","河北省邯郸市曲周县大牙线,距堤上村 约553米",115.16216999999999,36.674995,989.60001385679,12
59,59,59,59,,2017-06-05 01:33:46,71,12,"ACC开,3D定位,天线正常",河北省邯郸市曲周县大牙线,115.15972,36.666416,978.6484803562503,12
60,60,60,60,,2017-06-05 01:34:34,75,13,"ACC开,3D定位,天线正常","河北省邯郸市曲周县大牙线,距庞寨村 约162米,距福临门超市 约258米",115.15575,36.65819000000001,980.8441023418053,13
61,61,61,61,,2017-06-05 01:35:22,74,13,"ACC开,3D定位,天线正常","河北省邯郸市曲周县大牙线,距花屯村 约452米,距阴庄村 约686米",115.15213,36.64995,971.4897018802741,13
62,62,62,62,,2017-06-05 01:36:10,75,13,"ACC开,3D定位,天线正常","河北省邯郸市曲周县,距阴庄村 约629米,距里节固村 约630米",115.14946,36.641182,1003.6370230238248,13
63,63,63,63,,2017-06-05 01:36:58,71,14,"ACC开,3D定位,天线正常","河北省邯郸市曲周县,距森旺汽贸 约268米,距崔庄村 约458米",115.14568,36.633175,952.0810619443193,14
64,64,64,64,,2017-06-05 01:37:46,72,14,"ACC开,3D定位,天线正常","河北省邯郸市曲周县,距崔庄村 约519米",115.14057,36.62571,947.0730204627286,14
65,65,65,65,,2017-06-05 01:38:34,72,14,"ACC开,3D定位,天线正常","河北省邯郸市曲周县,距吕洞固村 约249米",115.134476,36.618557,963.5357478178634,14
66,66,66,66,,2017-06-05 01:39:22,71,15,"ACC开,3D定位,天线正常",河北省邯郸市曲周县,115.129456,36.61088,964.0824704065401,15
67,67,67,67,,2017-06-05 01:40:10,72,15,"ACC开,3D定位,天线正常","河北省邯郸市广平县,距张屯村 约260米,距司庄村 约637米",115.12596,36.60286,944.8067738722602,15
68,68,68,68,,2017-06-05 01:40:58,73,15,"ACC开,3D定位,天线正常","河北省邯郸市广平县G22(青兰高速),距王九郎寨村 约523米,距张屯村 约771米",115.12393999999999,36.594444,953.0335345737286,15
69,69,69,69,,2017-06-05 01:41:46,70,15,"ACC开,3D定位,天线正常","河北省邯郸市广平县,距王九郎寨村 约600米",115.12315,36.58586,957.1009918780228,15
70,70,70,70,,2017-06-05 01:42:34,76,16,"ACC开,3D定位,天线正常",河北省邯郸市广平县,115.12255,36.576946,992.6397864865703,16
71,71,71,71,,2017-06-05 01:43:22,72,16,"ACC开,3D定位,天线正常",河北省邯郸市广平县,115.12088,36.56814,990.4755098311173,16
72,72,72,72,,2017-06-05 01:44:10,76,16,"ACC开,3D定位,天线正常","河北省邯郸市广平县,距南韩村乡卫生院蒋庄分院 约478米,距燕庄桥 约511米",115.11796000000001,36.559696,974.475520951312,16
