Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
2,2,2,2,2,2017-06-06 00:01:00,80,1,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距镇龙村 约187米,距流水湾 约483米",113.731995,30.818316,1075.0827335261038,1
3,3,3,3,3,2017-06-06 00:02:00,79,1,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距潘家台 约295米,距郭家店 约463米",113.739456,30.81108,1074.7369583063264,1
4,4,4,4,4,2017-06-06 00:03:00,79,1,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距麻河猪场 约385米,距汪家塝 约548米",113.74689,30.803919,1066.8255227789489,1
5,5,5,5,5,2017-06-06 00:04:00,77,2,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距汪家塝 约493米,距四联五队 约612米",113.75503,30.797707,1039.9876612351372,2
6,6,6,6,6,2017-06-06 00:04:00,78,2,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距东夏 约433米,距四联五队 约646米",113.763756,30.791733,1065.8159335089515,2
7,7,7,7,7,2017-06-06 00:05:00,81,2,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距堤台村 约282米,距光大村 约705米",113.77205,30.785192,1075.500100544784,2
8,8,8,8,8,2017-06-06 00:06:00,79,3,"ACC开,3D定位,天线正常","湖北省孝感市汉川市汉长线,距幺屋新村 约527米,距查吴岗 约779米",113.77908,30.778088,1036.825333623111,3
9,9,9,9,9,2017-06-06 00:07:00,74,3,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距幺屋新村 约599米",113.78505,30.770365,1030.9116586271682,3
10,10,10,10,10,2017-06-06 00:08:00,87,3,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距小罗村 约614米,距西寺村 约814米",113.79093,30.762367,1051.9270162629357,3
11,11,11,11,11,2017-06-06 00:08:00,77,4,"ACC开,3D定位,天线正常","湖北省孝感市汉川市汉长线,距徐杨村 约341米,距严家湾 约389米",113.79789,30.755205,1037.5501313961022,4
12,12,12,12,12,2017-06-06 00:09:00,77,4,"ACC开,3D定位,天线正常","湖北省孝感市汉川市,距徐杨村 约689米,距严家湾 约748米",113.80588,30.748997,1029.3097008456814,4
13,13,13,13,13,2017-06-06 00:10:00,82,4,"ACC开,3D定位,天线正常",湖北省孝感市汉川市,113.814644,30.742924,1075.86440008471,4
14,14,14,14,14,2017-06-06 00:11:00,77,5,"ACC开,3D定位,天线正常","湖北省孝感市汉川市虾三线,距张家垸子 约463米,距汉川市亚金华中空玻璃铝条加工厂 约682米",113.82328,30.737514,1021.3188489430561,5
15,15,15,15,15,2017-06-06 00:12:00,77,5,"ACC开,3D定位,天线正常","湖北省孝感市汉川市汉长线,距张家垸村 约549米,距五桂墩 约579米",113.83359,30.733253,1093.3822019694708,5
16,16,16,16,16,2017-06-06 00:12:00,70,5,"ACC开,3D定位,天线正常","湖北省孝感市汉川市虾民线,距湖北京邦迅达物流有限公司 约277米,距湖北省交通运输厅高速公路路政执法总队汉十支队武荆第一大队 约351米",113.84292,30.731054,924.672186989677,5
17,17,17,17,17,2017-06-06 00:13:00,74,6,"ACC开,3D定位,天线正常","湖北省孝感市汉川市虾民线,距小兴台 约427米,距小兴村 约736米",113.853195,30.730192,986.7609606047957,6
