Unnamed: 0,Unnamed: 0.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,,2017-04-20 11:00:42,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约183米,距石板滩中学 约294米",111.63996000000002,29.16239,,0
1,1,,2017-04-20 11:03:59,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约183米,距石板滩中学 约294米",111.63996000000002,29.16239,0.0,0
2,2,,2017-04-20 11:07:14,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约183米,距石板滩中学 约294米",111.63996000000002,29.16239,0.0,0
3,3,,2017-04-20 11:10:30,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约183米,距石板滩中学 约294米",111.63996000000002,29.16239,0.0,0
4,4,,2017-04-20 11:13:47,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约183米,距石板滩中学 约294米",111.63996000000002,29.16239,0.0,0
5,5,,2017-04-20 11:17:03,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约183米,距石板滩中学 约294米",111.63996000000002,29.16239,0.0,0
6,6,,2017-04-20 11:20:19,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约183米,距石板滩中学 约294米",111.63996000000002,29.16239,0.0,0
7,7,,2017-04-20 11:23:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约183米,距石板滩中学 约294米",111.63996000000002,29.16239,0.0,0
8,8,,2017-04-20 11:25:24,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约183米,距石板滩中学 约294米",111.63996000000002,29.16239,0.0,0
9,9,,2017-04-20 11:25:55,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约183米,距石板滩中学 约294米",111.63996000000002,29.16239,0.0,0
10,10,,2017-04-20 11:26:28,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约183米,距石板滩中学 约294米",111.63996000000002,29.16239,0.0,0
11,11,,2017-04-20 11:26:59,18,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约183米,距鼎城永欣机械制造公司 约214米",111.63906,29.163027000000003,112.490309520189,0
12,12,,2017-04-20 11:27:31,22,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约158米,距鼎城永欣机械制造公司 约252米",111.637215,29.162941,179.40393490160233,0
13,13,,2017-04-20 11:28:04,15,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距石板滩中学 约277米,距鼎城永欣机械制造公司 约378米",111.635445,29.16287800000001,172.00924924267517,0
14,14,,2017-04-20 11:28:35,17,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约323米,距石板滩中学 约369米",111.6355,29.161623,139.65198254082208,0
15,15,,2017-04-20 11:29:08,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约328米,距常德金德山水泥有限公司 约410米",111.63555,29.160221000000003,155.97109037599415,0
16,16,,2017-04-20 11:29:40,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约329米,距常德金德山水泥有限公司 约410米",111.635544,29.160213,1.0633705521112575,0
17,17,,2017-04-20 11:30:12,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约329米,距常德金德山水泥有限公司 约410米",111.635544,29.160213,0.0,0
18,18,,2017-04-20 11:30:44,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约347米,距常德金德山水泥有限公司 约392米",111.635605,29.15966,61.77550842125992,0
19,19,,2017-04-20 11:31:16,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约347米,距常德金德山水泥有限公司 约392米",111.635605,29.15966,0.0,0
20,20,,2017-04-20 11:31:48,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约347米,距常德金德山水泥有限公司 约392米",111.635605,29.15966,0.0,0
21,21,,2017-04-20 11:32:20,18,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约371米,距常德金德山水泥有限公司 约376米",111.635735,29.15908,65.71694205795617,0
22,22,,2017-04-20 11:32:52,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约341米,距鼎城永欣机械制造公司 约374米",111.63614,29.158648,62.08133672731825,0
23,23,,2017-04-20 11:33:24,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约341米,距鼎城永欣机械制造公司 约374米",111.63614,29.158648,0.0,0
24,24,,2017-04-20 11:33:56,9,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约338米,距鼎城永欣机械制造公司 约393米",111.63626,29.158333,36.913850515494104,0
25,25,,2017-04-20 11:34:28,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约381米,距鼎城永欣机械制造公司 约451米",111.63598,29.157862,59.00992880238695,0
26,26,,2017-04-20 11:35:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约381米,距鼎城永欣机械制造公司 约451米",111.63598,29.157862,0.0,0
