Unnamed: 0,Unnamed: 0.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,,2017-04-26 07:26:12,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约526米,距万嘉物流 约605米",111.65795,28.98579,,0
1,1,,2017-04-26 07:27:04,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约544米,距万嘉物流 约614米",111.657875,28.98562,20.261955800478393,0
2,2,,2017-04-26 07:27:52,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约544米,距万嘉物流 约614米",111.657875,28.98562,0.0,0
3,3,,2017-04-26 07:28:40,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约544米,距万嘉物流 约614米",111.657875,28.98562,0.0,0
4,4,,2017-04-26 07:29:28,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约544米,距万嘉物流 约614米",111.657875,28.98562,0.0,0
5,5,,2017-04-26 07:30:16,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约544米,距万嘉物流 约614米",111.657875,28.98562,0.0,0
6,6,,2017-04-26 07:31:04,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约544米,距万嘉物流 约614米",111.657875,28.98562,0.0,0
7,7,,2017-04-26 07:33:28,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约486米,距万嘉物流 约610米",111.657845,28.98645,92.33803716007068,0
8,8,,2017-04-26 07:34:17,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约457米,距万嘉物流 约612米",111.65785,28.986912,51.374430622541475,0
9,9,,2017-04-26 07:35:04,28,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约321米,距万嘉物流 约530米",111.65889,28.987793,140.8163487509053,0
10,10,,2017-04-26 07:35:52,48,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约408米,距陈家巷 约617米",111.659485,28.99212600000001,485.27140316555483,0
11,11,,2017-04-26 07:36:38,42,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距陈家巷 约645米,距小弟超市 约860米",111.65955,28.997248,569.5763031103365,0
12,12,,2017-04-26 07:37:42,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距和尚湖 约674米,距小樟树 约835米",111.659615,29.000788,393.6813536016299,0
13,13,,2017-04-26 07:38:30,35,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小樟树 约539米,距和尚湖 约608米",111.65964,29.003523,304.12827231855215,0
14,14,,2017-04-26 07:39:17,35,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小樟树 约157米,距九房河 约752米",111.65969,29.00755,447.80900150142304,0
15,15,,2017-04-26 07:40:05,27,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距九房河 约230米,距小樟树 约471米",111.6598,29.012302,528.5072996296776,1
16,16,,2017-04-26 07:45:54,20,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区敬业路,距常德市职业技术学院-基础医学系 约201米,距常德市农业科学研究所 约375米",111.643715,29.040365,3490.4400179209465,4
17,17,,2017-04-26 07:46:42,25,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区敬业路,距常德市职业技术学院-基础医学系 约231米,距常德爱情公寓 约338米",111.6437,29.041273,100.97566593641336,4
18,18,,2017-04-26 07:47:30,0,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区励志路,距常德职院驾校-北门 约184米,距宏昇超市 约229米",111.64371,29.0431,203.1557439028357,4
19,19,,2017-04-26 07:48:18,35,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区金丹路,距常德舒心宾馆 约71米,距宏昇超市 约128米",111.6437,29.046171,341.48148580424737,4
20,20,,2017-04-26 07:49:06,0,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区金丹路,距常德舒心宾馆 约333米,距宏昇超市 约386米",111.64371,29.048563,265.98041663768294,4
21,21,,2017-04-26 07:49:54,18,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区金丹路,距常德舒心宾馆 约374米,距宏昇超市 约427米",111.64371,29.048935,41.36457114479264,4
22,22,,2017-04-26 07:51:46,0,5,"ACC开,3D定位,天线正常","湖南省常德市武陵区金丹路,距合兴村村委会 约95米,距合兴村 约284米",111.643684,29.054777,649.6065954514232,5
23,23,,2017-04-26 07:52:34,42,5,"ACC开,3D定位,天线正常","湖南省常德市武陵区柳叶大道辅路,距合兴村 约77米,距合兴村村委会 约228米",111.643715,29.057575,311.1384353253581,5
24,24,,2017-04-26 07:53:22,36,5,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距家家福超市(常澧路) 约386米,距阳光超市 约386米",111.643715,29.063047,608.4594981380992,5
25,25,,2017-04-26 07:54:11,30,5,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距果然好超市(开心果店) 约312米,距阳光超市 约332米",111.643715,29.064714,185.36220456869626,5
26,26,,2017-04-26 07:54:59,43,6,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距柳园-西门 约228米,距常德市武陵区亚杰汽车修理厂 约229米",111.643715,29.069756,560.6456121374199,6
27,27,,2017-04-26 07:55:47,44,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距中共三星垱支部委员会 约193米,距天井堰 约270米",111.643715,29.075687,659.4980415676881,6
28,28,,2017-04-26 07:56:35,0,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距中共三星垱支部委员会 约265米,距天井堰 约280米",111.643715,29.076366,75.50146184876718,6
29,29,,2017-04-26 07:57:23,24,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距武陵区常鸿铜门厂 约270米,距中共三星垱支部委员会 约331米",111.64323,29.077038,88.34618111682322,6
30,30,,2017-04-26 07:58:11,35,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距三星当村 约160米,距湖南紫竹源餐饮服务有限公司 约182米",111.638985,29.078571000000004,446.36082256874323,6
31,31,,2017-04-26 07:58:59,0,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距三星当村 约193米,距湖南紫竹源餐饮服务有限公司 约214米",111.637596,29.07905,145.11027496616325,6
32,32,,2017-04-26 07:59:47,0,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距三星当村 约243米,距三兴档村 约256米",111.63695,29.079323,69.73176186396003,6
33,33,,2017-04-26 08:00:35,0,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距三星当村 约243米,距三兴档村 约256米",111.63695,29.079323,0.0,6
34,34,,2017-04-26 08:01:40,0,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距三星当村 约243米,距三兴档村 约256米",111.63695,29.079323,0.0,6
35,35,,2017-04-26 08:02:28,0,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距三兴档村 约286米,距三星当村 约298米",111.636375,29.079596,63.59100861011178,6
36,36,,2017-04-26 08:03:16,0,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距三兴档村 约286米,距三星当村 约298米",111.636375,29.079596,0.0,6
37,37,,2017-04-26 08:04:04,10,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(常澧路),距高桥 约303米,距三兴档村 约364米",111.6352,29.08004600000001,124.6669886610358,6
38,38,,2017-04-26 08:04:52,0,6,"ACC开,3D定位,天线正常","湖南省常德市武陵区G207(常澧路),距高桥 约256米,距三兴档村 约404米",111.63469,29.080233000000003,53.746027253282826,6
