Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
0,,2017-06-27 10:19:13,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约550米,距程家河 约625米",111.65758500000001,28.98582,0,
1,,2017-06-27 10:19:47,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距芮家河 约522米,距程家河 约590米",111.65731000000001,28.986568,0,87.36916387542144
2,,2017-06-27 10:20:19,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距芮家河 约522米,距程家河 约590米",111.65731000000001,28.986568,0,0.0
3,,2017-06-27 10:20:51,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距芮家河 约522米,距程家河 约590米",111.65731000000001,28.986568,0,0.0
4,,2017-06-27 10:21:20,0,0,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距芮家河 约522米,距程家河 约590米",111.65731000000001,28.986568,0,0.0
5,,2017-06-27 10:21:52,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约523米,距万嘉物流 约627米",111.657684,28.986096999999997,0,63.76713625246173
6,,2017-06-27 10:22:24,6,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约477米,距万嘉物流 约611米",111.657845,28.986595,0,57.54684061087061
7,,2017-06-27 10:22:52,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约475米,距万嘉物流 约611米",111.65784,28.986628000000003,0,3.70152541468938
8,,2017-06-27 10:23:28,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约475米,距万嘉物流 约611米",111.65784,28.986628000000003,0,0.0
9,,2017-06-27 10:25:24,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约475米,距万嘉物流 约611米",111.65784,28.986628000000003,0,0.0
10,,2017-06-27 10:26:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约475米,距万嘉物流 约611米",111.65784,28.986628000000003,0,0.0
11,,2017-06-27 10:26:34,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约475米,距万嘉物流 约611米",111.65784,28.986628000000003,0,0.0
12,,2017-06-27 10:27:06,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约475米,距万嘉物流 约611米",111.65784,28.986628000000003,0,0.0
13,,2017-06-27 10:27:38,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约451米,距万嘉物流 约610米",111.65788,28.986965,0,37.674175654997015
14,,2017-06-27 10:28:10,18,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约344米,距万嘉物流 约524米",111.65884399999999,28.987427,0,106.91475341977971
15,,2017-06-27 10:28:42,34,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约265米,距万嘉物流 约590米",111.65916000000001,28.989515,0,234.2008910686424
16,,2017-06-27 10:29:14,46,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约463米,距陈家巷 约592米",111.6595,28.992721999999997,0,358.1326528386245
