Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
1,,2017-05-05 17:27:51,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距长沙特耐金属材料科技有限公司 约58米,距长沙艾森设备维护技术有限公司 约166米",112.67127,28.27658,0,0.0
2,,2017-05-05 17:28:22,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距长沙特耐金属材料科技有限公司 约58米,距长沙艾森设备维护技术有限公司 约166米",112.67127,28.27658,0,0.0
3,,2017-05-05 17:28:53,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距长沙特耐金属材料科技有限公司 约58米,距长沙艾森设备维护技术有限公司 约166米",112.67127,28.27658,0,0.0
4,,2017-05-05 17:29:24,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距长沙特耐金属材料科技有限公司 约58米,距长沙艾森设备维护技术有限公司 约166米",112.67127,28.27658,0,0.0
5,,2017-05-05 17:29:55,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距长沙特耐金属材料科技有限公司 约58米,距长沙艾森设备维护技术有限公司 约166米",112.67127,28.27658,0,0.0
6,,2017-05-05 17:30:26,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距长沙特耐金属材料科技有限公司 约58米,距长沙艾森设备维护技术有限公司 约166米",112.67127,28.27658,0,0.0
7,,2017-05-05 17:30:57,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距长沙特耐金属材料科技有限公司 约58米,距长沙艾森设备维护技术有限公司 约166米",112.67127,28.27658,0,0.0
8,,2017-05-05 17:31:28,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距长沙特耐金属材料科技有限公司 约58米,距长沙艾森设备维护技术有限公司 约166米",112.67127,28.27658,0,0.0
9,,2017-05-05 17:31:59,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距长沙特耐金属材料科技有限公司 约58米,距长沙艾森设备维护技术有限公司 约166米",112.67127,28.27658,0,0.0
10,,2017-05-05 17:32:30,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距长沙特耐金属材料科技有限公司 约58米,距长沙艾森设备维护技术有限公司 约166米",112.67127,28.27658,0,0.0
