Unnamed: 0,Unnamed: 0.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,,2017-05-16 12:49:43,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距湘印天下数字印刷(新长海店) 约99米,距iPlay24h Fitness 约100米",113.08246299999999,28.232390999999996,,0
1,1,,2017-05-16 12:50:43,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距湘印天下数字印刷(新长海店) 约99米,距海长烟酒超市 约100米",113.08246100000001,28.232393,0.2963906752235194,0
2,2,,2017-05-16 12:51:43,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距iPlay24h Fitness 约94米,距海长烟酒超市 约98米",113.08258400000001,28.232423999999998,12.533269394110023,0
3,3,,2017-05-16 12:52:37,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距iPlay24h Fitness 约84米,距海长烟酒超市 约94米",113.08270800000001,28.232501,14.862010329162366,0
4,4,,2017-05-16 12:53:24,6.3,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县板仓南路,距iPlay24h Fitness 约73米,距海长烟酒超市 约85米",113.08273999999999,28.232603000000005,11.767178280587645,0
5,5,,2017-05-16 12:54:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,43.092570279902745,0
6,6,,2017-05-16 12:55:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
7,7,,2017-05-16 12:56:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
8,8,,2017-05-16 12:57:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
9,9,,2017-05-16 12:58:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
10,10,,2017-05-16 12:59:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
11,11,,2017-05-16 13:00:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
12,12,,2017-05-16 13:01:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
13,13,,2017-05-16 13:02:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
14,14,,2017-05-16 13:03:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
15,15,,2017-05-16 13:04:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
16,16,,2017-05-16 13:05:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
17,17,,2017-05-16 13:06:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
18,18,,2017-05-16 13:07:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
19,19,,2017-05-16 13:08:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
20,20,,2017-05-16 13:09:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
21,21,,2017-05-16 13:10:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
22,22,,2017-05-16 13:11:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
23,23,,2017-05-16 13:12:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
24,24,,2017-05-16 13:13:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
25,25,,2017-05-16 13:14:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
26,26,,2017-05-16 13:15:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
27,27,,2017-05-16 13:16:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
28,28,,2017-05-16 13:17:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
29,29,,2017-05-16 13:18:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
30,30,,2017-05-16 13:19:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
31,31,,2017-05-16 13:20:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
32,32,,2017-05-16 13:21:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
33,33,,2017-05-16 13:22:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
34,34,,2017-05-16 13:23:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
35,35,,2017-05-16 13:24:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
36,36,,2017-05-16 13:25:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
37,37,,2017-05-16 13:26:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
38,38,,2017-05-16 13:27:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
39,39,,2017-05-16 13:28:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
40,40,,2017-05-16 13:29:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
41,41,,2017-05-16 13:30:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
42,42,,2017-05-16 13:31:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
43,43,,2017-05-16 13:32:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
44,44,,2017-05-16 13:33:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
45,45,,2017-05-16 13:34:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
46,46,,2017-05-16 13:35:25,0.0,0,"ACC开,3D定位,天线正常","湖南省长沙市长沙县向阳路10号,距iPlay24h Fitness 约32米,距海长烟酒超市 约45米",113.08264299999999,28.232981,0.0,0
