Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
0,,2017-05-17 00:03:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,
1,,2017-05-17 00:13:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
2,,2017-05-17 00:23:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
3,,2017-05-17 00:33:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
4,,2017-05-17 00:43:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
5,,2017-05-17 00:53:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
6,,2017-05-17 01:03:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
7,,2017-05-17 01:13:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
8,,2017-05-17 01:23:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
9,,2017-05-17 01:33:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
10,,2017-05-17 01:43:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
11,,2017-05-17 01:53:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
12,,2017-05-17 02:03:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
13,,2017-05-17 02:13:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
14,,2017-05-17 02:23:32,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约77米,距师家洲 约180米",113.080582,28.140229,0,0.0
15,,2017-05-17 14:32:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约85米,距师家洲 约177米",113.080233,28.140143,0,35.530989343993255
16,,2017-05-17 14:33:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约79米,距师家洲 约171米",113.08023,28.140198,0,6.122799632733281
17,,2017-05-17 14:34:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约79米,距师家洲 约171米",113.08023,28.140198,0,0.0
18,,2017-05-17 14:35:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约79米,距师家洲 约171米",113.08023,28.140198,0,0.0
19,,2017-05-17 14:36:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,39.98253845157065
20,,2017-05-17 14:37:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
21,,2017-05-17 14:38:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
22,,2017-05-17 14:39:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
23,,2017-05-17 14:40:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
24,,2017-05-17 14:41:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
25,,2017-05-17 14:42:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
26,,2017-05-17 14:43:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
27,,2017-05-17 14:44:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
28,,2017-05-17 14:45:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
29,,2017-05-17 14:46:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
30,,2017-05-17 14:47:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
31,,2017-05-17 14:48:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
32,,2017-05-17 14:49:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
33,,2017-05-17 14:50:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
34,,2017-05-17 14:51:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
35,,2017-05-17 14:52:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
36,,2017-05-17 14:53:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
37,,2017-05-17 14:54:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
38,,2017-05-17 14:55:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
39,,2017-05-17 14:56:35,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区川河路,距湖南洪鑫物流有限公司 约61米,距师家洲 约166米",113.080583,28.140378,0,0.0
