Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position ,Longitude,Latitude,Distance_geopy,Distance traveled (km)
1,1,1,1,1,1,2017-05-30 00:01:00,64,0,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距马盖图乡 约581米,距五星村 约642米",112.65933999999999,40.92968,1066.017620750353,0
2,2,2,2,2,2,2017-05-30 00:01:00,41,0,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距官家坝 约650米",112.65446499999999,40.934128,642.1383726751887,0
3,3,3,3,3,3,2017-05-30 00:02:00,49,1,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距官家坝 约85米",112.64851999999999,40.936954,590.0317112540588,1
4,4,4,4,4,4,2017-05-30 00:03:00,83,1,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县,112.63983999999999,40.9414,880.9017699223821,1
5,5,5,5,5,5,2017-05-30 00:04:00,65,1,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距少代沟 约474米",112.63228600000001,40.948322,997.4808049272234,1
6,6,6,6,6,6,2017-05-30 00:05:00,55,2,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县,112.625565,40.953705,822.724920593059,2
7,7,7,7,7,7,2017-05-30 00:05:00,56,2,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县,112.61939,40.95754,671.3748746789328,2
8,8,8,8,8,8,2017-05-30 00:06:00,68,2,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距萝卜沟 约177米",112.6126,40.962326000000004,779.9365767897217,2
9,9,9,9,9,9,2017-05-30 00:07:00,70,2,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县,112.60891000000001,40.970974,1010.2934612970344,2
10,10,10,10,10,10,2017-05-30 00:08:00,75,3,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距十六家卜 约492米,距大牡花沟 约531米",112.60663000000001,40.979282,943.43008104277,3
11,11,11,11,11,11,2017-05-30 00:09:00,70,3,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距沙圪旦 约512米,距十六家卜 约585米",112.60269,40.98765,987.5093441066941,3
12,12,12,12,12,12,2017-05-30 00:09:00,63,3,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县X560(科凉线),距沙圪旦 约562米",112.59983000000001,40.994842999999996,835.070463625453,3
13,13,13,13,13,13,2017-05-30 00:10:00,46,4,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县X560,距赵家滩 约622米",112.5994,41.00172,765.5395999702663,4
14,14,14,14,14,14,2017-05-30 00:11:00,52,4,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县X560,112.60006000000001,41.00744,638.4426007523093,4
15,15,15,15,15,15,2017-05-30 00:12:00,76,4,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距什字村 约368米,距好再来农家菜 约473米",112.59982,41.01468300000001,805.6377044194539,4
16,16,16,16,16,16,2017-05-30 00:13:00,81,4,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距后西湾 约394米",112.59279,41.022556,1055.5787657884248,4
17,17,17,17,17,17,2017-05-30 00:13:00,68,5,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距后西湾 约624米",112.5818,41.02622,1007.949568758846,5
18,18,18,18,18,18,2017-05-30 00:14:00,59,5,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县,112.57173999999999,41.029255,908.858538987846,5
19,19,19,19,19,19,2017-05-30 00:15:00,45,5,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县,112.56511,41.032276,649.7097901980057,5
20,20,20,20,20,20,2017-05-30 00:16:00,48,5,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市察哈尔右翼中旗,112.558525,41.034462,603.4536371948757,5
21,21,21,21,21,21,2017-05-30 00:23:00,77,12,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县,112.48081,41.03856,6534.136520537021,12
22,22,22,22,22,22,2017-05-30 00:24:00,78,12,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县,112.46798999999999,41.040442999999996,1095.406397993134,12
23,23,23,23,23,23,2017-05-30 00:25:00,91,13,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距小西沟 约526米",112.4551,41.040844,1081.9805931383667,13
24,24,24,24,24,24,2017-05-30 00:26:00,90,13,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市察哈尔右翼中旗,112.44113,41.042023,1178.936891661468,13
25,25,25,25,25,25,2017-05-30 00:26:00,85,13,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市察哈尔右翼中旗,距南营子 约395米",112.42779499999999,41.04211,1118.400444673286,13
26,26,26,26,26,26,2017-05-30 00:27:00,73,14,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市察哈尔右翼中旗,距麻迷沟 约540米",112.41546000000001,41.040344,1052.978052364313,14
27,27,27,27,27,27,2017-05-30 00:28:00,75,14,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市察哈尔右翼中旗,距松读孩 约187米,距麻迷沟 约480米",112.403465,41.041664000000004,1016.6451053227803,14
28,28,28,28,28,28,2017-05-30 00:29:00,86,14,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市察哈尔右翼中旗,距坝底 约276米,距牛场沟 约516米",112.39153999999999,41.04469,1055.1760519858785,14
29,29,29,29,29,29,2017-05-30 00:30:00,87,15,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县,112.37863,41.049202,1193.2367374103371,15
30,30,30,30,30,30,2017-05-30 00:30:00,70,15,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距东沟 约607米",112.36662,41.051018,1027.1569592289056,15
31,31,31,31,31,31,2017-05-30 00:31:00,0,15,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距红石砑 约352米,距东沟 约401米",112.36001999999999,41.049255,587.1438250542387,15
32,32,32,32,32,32,2017-05-30 00:32:00,75,16,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县,112.34769399999999,41.045629999999996,1109.4654846052356,16
33,33,33,33,33,33,2017-05-30 00:33:00,85,17,"ACC开,3D定位,天线正常",内蒙古自治区乌兰察布市卓资县,112.33466999999999,41.043198,1125.2166630765148,17
34,34,34,34,34,34,2017-05-30 00:34:00,82,17,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距圪塔村 约147米,距大耗赖 约482米",112.3215,41.042922999999995,1104.9271749567843,17
35,35,35,35,35,35,2017-05-30 00:34:00,84,17,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距七道沟 约337米,距羊群窑沟 约514米",112.30848999999999,41.040207,1132.1348393427832,17
36,36,36,36,36,36,2017-05-30 00:35:00,76,18,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距羊群窑沟 约555米,距里阳坡 约665米",112.29596000000001,41.04098,1054.379012822215,18
37,37,37,37,37,37,2017-05-30 00:36:00,85,18,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距魏家沟 约141米",112.28358,41.04412,1095.3941462872363,18
38,38,38,38,38,38,2017-05-30 00:37:00,80,19,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距新德义村 约203米",112.26971,41.04296,1170.3308265004548,19
39,39,39,39,39,39,2017-05-30 00:38:00,90,19,"ACC开,3D定位,天线正常","内蒙古自治区乌兰察布市卓资县,距公馆 约297米",112.25733000000001,41.039574,1104.4365251554173,19
