Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position ,Longitude,Latitude,Distance_geopy,Distance traveled (km)
2,2,2,2,2,2,2,2,,2017-07-21 00:01:00,59,0,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距石塘胡家 约281米,距天主堂 约414米",112.8436,26.796059999999997,952.8040643616548,0
3,3,3,3,3,3,3,3,,2017-07-21 00:02:00,62,1,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距降塘村 约284米,距刘家 约394米",112.84728999999999,26.789279999999998,838.1622345740393,1
4,4,4,4,4,4,4,4,,2017-07-21 00:03:00,76,1,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距菖蒲塘 约187米,距石里庙 约235米",112.85298999999999,26.779015,1273.9606165916725,1
5,5,5,5,5,5,5,5,,2017-07-21 00:04:00,87,2,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距孟冲 约97米,距欧田 约327米",112.85703000000001,26.770122999999998,1066.9923901130348,2
6,6,6,6,6,6,6,6,,2017-07-21 00:05:00,82,2,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距廖家 约288米,距李家岭 约314米",112.86034,26.760225,1148.6220177182952,2
7,7,7,7,7,7,7,7,,2017-07-21 00:06:00,85,3,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距江家老屋 约312米,距下里 约335米",112.864494,26.751154,1089.720715933243,3
8,8,8,8,8,8,8,8,,2017-07-21 00:06:00,73,3,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距招贤李家 约361米,距黄西村 约366米",112.86893500000001,26.743015000000003,1006.7366014570492,3
9,9,9,9,9,9,9,9,,2017-07-21 00:07:00,80,3,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县S316,距牛角湾 约82米,距豆塘 约324米",112.872375,26.7342,1038.0069319854383,3
10,10,10,10,10,10,10,10,,2017-07-21 00:08:00,80,4,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距柳树村 约274米,距孟家冲 约391米",112.8753,26.724932,1070.7147135043188,4
11,11,11,11,11,11,11,11,,2017-07-21 00:09:00,68,4,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距回头岭 约303米,距中甲村 约322米",112.87722,26.71624000000001,985.1405116866837,4
12,12,12,12,12,12,12,12,,2017-07-21 00:10:00,86,4,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距铜井坪 约281米,距元堆坪 约513米",112.88256000000001,26.707566999999997,1100.6337832126897,4
13,13,13,13,13,13,13,13,,2017-07-21 00:10:00,76,5,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距柏树脚 约163米,距柘溪 约226米",112.88635,26.699023999999998,1021.8238475544824,5
14,14,14,14,14,14,14,14,,2017-07-21 00:11:00,83,5,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距石壕 约182米,距龙王仙 约189米",112.89242,26.690640999999996,1110.1910582873602,5
15,15,15,15,15,15,15,15,,2017-07-21 00:12:00,76,5,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距枫木冲 约223米,距三条冲 约232米",112.895454,26.681618,1047.6150685009586,5
16,16,16,16,16,16,16,16,,2017-07-21 00:13:00,84,6,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距下座 约246米,距大岭庙 约604米",112.89821,26.672259999999998,1075.9910466918063,6
17,17,17,17,17,17,17,17,,2017-07-21 00:14:00,78,6,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距新屋贺家 约268米,距周家庄 约364米",112.90183,26.662867,1104.661384720443,6
18,18,18,18,18,18,18,18,,2017-07-21 00:14:00,85,6,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距木沙塘 约190米,距良沙塘 约193米",112.90581999999999,26.654501,1011.2347537147563,6
19,19,19,19,19,19,19,19,,2017-07-21 00:15:00,76,7,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距犁头湾 约265米,距庙湾里 约310米",112.91073600000001,26.645395,1124.2488449522523,7
20,20,20,20,20,20,20,20,,2017-07-21 00:16:00,71,7,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距彭家 约130米,距松山里 约210米",112.91396,26.63717,969.0885435556684,7
21,21,21,21,21,21,21,21,,2017-07-21 00:17:00,82,7,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距花开村 约51米,距茶叶冲 约168米",112.92016000000001,26.629988,1008.7319317383417,7
22,22,22,22,22,22,22,22,,2017-07-21 00:18:00,74,8,"ACC开,3D定位,天线正常","湖南省衡阳市衡南县,距滩下 约153米,距廖家湾 约608米",112.92625,26.622976,987.1141915184758,8
23,23,23,23,23,23,23,23,,2017-07-21 00:18:00,82,8,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市X025,距苏州金洲管业(中共耒阳市新市镇委员会西北) 约336米,距新市镇陈师傅家电超市 约338米",112.93203999999999,26.614341999999997,1119.3768080100454,8
24,24,24,24,24,24,24,24,,2017-07-21 00:19:00,70,8,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市X015,距矮岭坳 约166米,距鸡婆山 约320米",112.93348999999999,26.605442,1000.0802183450894,8
25,25,25,25,25,25,25,25,,2017-07-21 00:20:00,85,9,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距湾头方 约332米,距崖鹰咀 约358米",112.93386000000001,26.596684000000003,974.5411133137404,9
26,26,26,26,26,26,26,26,,2017-07-21 00:21:00,75,9,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距庄房上 约432米,距李家 约629米",112.92908,26.587653999999997,1110.899355460006,9
27,27,27,27,27,27,27,27,,2017-07-21 00:22:00,65,9,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距任塘湾 约607米,距竹山湾 约706米",112.92432,26.580864000000002,891.1167478014647,9
28,28,28,28,28,28,28,28,,2017-07-21 00:22:00,70,10,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距朱家背里 约222米,距风尾桥 约434米",112.92123000000001,26.5736,864.1979454204089,10
29,29,29,29,29,29,29,29,,2017-07-21 00:23:00,84,10,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距土坡塘 约302米,距土坡塘陈家 约541米",112.91955,26.564333,1043.9024703897053,10
30,30,30,30,30,30,30,30,,2017-07-21 00:24:00,67,10,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距南木坪张家 约371米,距鸭婆冲 约728米",112.91788500000001,26.555,1050.9134215087286,10
31,31,31,31,31,31,31,31,,2017-07-21 00:25:00,70,11,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距树山村 约222米,距喜山边 约442米",112.91453,26.546784999999996,972.516994021064,11
32,32,32,32,32,32,32,32,,2017-07-21 00:26:00,73,11,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距高冲下村 约604米,距齐家冲 约622米",112.91076000000001,26.538921000000002,951.4636552428792,11
33,33,33,33,33,33,33,33,,2017-07-21 00:26:00,87,11,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距齐家冲 约647米",112.9098,26.529646000000003,1035.74684481715,11
34,34,34,34,34,34,34,34,,2017-07-21 00:27:00,94,12,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距耒阳市大市中学 约177米,距黎家冲 约327米",112.90987,26.518342999999998,1256.8573268113942,12
35,35,35,35,35,35,35,35,,2017-07-21 00:28:00,73,12,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市X023,距耒阳市农村商业银行(大市支行) 约146米,距大市镇海尔专卖店 约151米",112.90848999999999,26.50892,1056.7501015335818,12
36,36,36,36,36,36,36,36,,2017-07-21 00:29:00,59,12,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距华严寺 约310米,距陈家村 约361米",112.903824,26.502396,861.2980657477029,12
37,37,37,37,37,37,37,37,,2017-07-21 00:30:00,62,13,"ACC开,3D定位,天线正常","湖南省衡阳市耒阳市,距王家 约254米,距黄家 约470米",112.90095500000001,26.49564,803.6570142031062,13
