Unnamed: 0,Unnamed: 0.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position ,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,,2017-08-07 04:28:22,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距金洲派出所 约125米,距同兴村委会 约128米",112.66198999999999,28.265040999999997,,0.0
1,1,,2017-08-07 04:31:39,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,24.29309415323308,0.0
2,2,,2017-08-07 04:32:27,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
3,3,,2017-08-07 04:33:14,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
4,4,,2017-08-07 04:33:59,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
5,5,,2017-08-07 04:34:47,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
6,6,,2017-08-07 04:35:36,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
7,7,,2017-08-07 04:36:24,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
8,8,,2017-08-07 04:37:12,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
9,9,,2017-08-07 04:38:00,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
10,10,,2017-08-07 04:38:49,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
11,11,,2017-08-07 04:39:37,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
12,12,,2017-08-07 04:40:25,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
13,13,,2017-08-07 04:41:13,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
14,14,,2017-08-07 04:42:01,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
15,15,,2017-08-07 04:42:49,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距同兴村委会 约108米,距金洲大酒店 约118米",112.66214,28.265215,0.0,0.0
16,16,,2017-08-07 04:43:37,27.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县金州南路,距金洲大酒店 约73米,距同兴村委会 约80米",112.66238999999999,28.265581,47.49475415194596,0.0
