Unnamed: 0,Unnamed: 0.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position ,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,,2017-04-28 14:34:31,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约210米,距常德金德山水泥有限公司 约338米",111.640625,29.162088,,0.0
1,1,,2017-04-28 14:37:47,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约210米,距常德金德山水泥有限公司 约338米",111.640625,29.162088,0.0,0.0
2,2,,2017-04-28 14:39:18,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约210米,距常德金德山水泥有限公司 约338米",111.640625,29.162088,0.0,0.0
3,3,,2017-04-28 14:39:50,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约210米,距常德金德山水泥有限公司 约338米",111.640625,29.162088,0.0,0.0
4,4,,2017-04-28 14:40:20,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约210米,距常德金德山水泥有限公司 约338米",111.640625,29.162088,0.0,0.0
5,5,,2017-04-28 14:40:42,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约210米,距常德金德山水泥有限公司 约338米",111.640625,29.162088,0.0,0.0
6,6,,2017-04-28 14:41:14,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约210米,距常德金德山水泥有限公司 约338米",111.640625,29.162088,0.0,0.0
7,7,,2017-04-28 14:41:46,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约210米,距常德金德山水泥有限公司 约338米",111.640625,29.162088,0.0,0.0
8,8,,2017-04-28 14:42:17,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约210米,距常德金德山水泥有限公司 约338米",111.640625,29.162088,0.0,0.0
9,9,,2017-04-28 14:42:49,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约210米,距常德金德山水泥有限公司 约338米",111.640625,29.162088,0.0,0.0
10,10,,2017-04-28 14:43:21,0.0,0.0,"ACC开,3D定位,天线正常",,111.640625,29.162088,0.0,0.0
11,11,,2017-04-28 14:43:53,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约192米,距石板滩中学 约305米",111.64011,29.162391999999997,60.36002601555172,0.0
12,12,,2017-04-28 14:44:25,13.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约201米,距石板滩中学 约275米",111.63993,29.162619,30.701851290629786,0.0
13,13,,2017-04-28 14:44:57,15.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约180米,距鼎城永欣机械制造公司 约212米",111.639,29.163015,100.4665629891486,0.0
14,14,,2017-04-28 14:45:29,23.0,0.0,"ACC开,3D定位,天线正常",,111.63708000000001,29.162884000000002,186.9996316401129,0.0
15,15,,2017-04-28 14:46:01,15.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距石板滩中学 约288米,距鼎城永欣机械制造公司 约373米",111.63541399999998,29.162743,162.52631946425674,0.0
16,16,,2017-04-28 14:46:33,24.0,0.0,"ACC开,3D定位,天线正常",,111.6355,29.16113,179.55196260040478,0.0
17,17,,2017-04-28 14:47:06,12.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约344米,距常德金德山水泥有限公司 约405米",111.63551000000001,29.1599,136.77339989373624,0.0
18,18,,2017-04-28 14:47:37,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约351米,距常德金德山水泥有限公司 约396米",111.63556000000001,29.159662,26.906103148906077,0.0
19,19,,2017-04-28 14:48:09,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约351米,距常德金德山水泥有限公司 约396米",111.63556000000001,29.159662,0.0,0.0
20,20,,2017-04-28 14:48:42,8.0,0.0,"ACC开,3D定位,天线正常",,111.635574,29.159275,43.05396514693515,0.0
21,21,,2017-04-28 14:49:14,0.0,0.0,"ACC开,3D定位,天线正常",,111.63566599999999,29.15912800000001,18.627629097789566,0.0
22,22,,2017-04-28 14:49:46,0.0,0.0,"ACC开,3D定位,天线正常",,111.63566599999999,29.15912800000001,0.0,0.0
23,23,,2017-04-28 14:50:18,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约334米,距鼎城永欣机械制造公司 约392米",111.6363,29.158317999999998,109.09785779749814,0.0
24,24,,2017-04-28 14:50:50,7.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约390米,距鼎城永欣机械制造公司 约466米",111.63593999999999,29.157726,74.53381855731462,0.0
25,25,,2017-04-28 14:51:22,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约420米,距鼎城永欣机械制造公司 约499米",111.63573000000001,29.157486,33.586008632405466,0.0
26,26,,2017-04-28 14:51:54,0.0,0.0,"ACC开,3D定位,天线正常",,111.63573000000001,29.157486,0.0,0.0
27,27,,2017-04-28 14:52:26,10.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约515米,距常德市鼎城区石板滩卫生院-预防接种门诊 约529米",111.63538,29.15637000000001,128.6637412965814,0.0
28,28,,2017-04-28 14:52:58,34.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约512米,距常德市鼎城区石板滩卫生院-预防接种门诊 约656米",111.63425,29.155134000000004,175.86845546875085,0.0
29,29,,2017-04-28 14:53:30,31.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约451米,距大堰 约593米",111.63144,29.153747999999997,313.3869972871068,0.0
30,30,,2017-04-28 14:54:02,15.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距大堰 约512米,距余家岗 约534米",111.62973000000001,29.152715999999998,201.848925418435,0.0
31,31,,2017-04-28 14:54:34,39.0,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距大堰 约353米,距古堤桥 约363米",111.62881499999999,29.150454999999997,266.65227441783315,1.0
32,32,,2017-04-28 14:55:06,31.0,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距新堰 约259米,距小堰 约338米",111.62773,29.14772,321.8545997773492,1.0
33,33,,2017-04-28 14:55:38,37.0,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距新堰 约89米,距小堰 约125米",111.62665600000001,29.145264,292.33510125822755,1.0
34,34,,2017-04-28 14:56:10,40.0,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小堰 约323米,距新堰 约374米",111.62546999999999,29.142560999999997,321.8746651409923,1.0
35,35,,2017-04-28 14:56:42,42.0,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距皇家湾 约379米,距锥子岗 约541米",111.62428999999999,29.139568,351.98587454825906,1.0
36,36,,2017-04-28 14:57:14,21.0,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距皇家湾 约169米,距陈家冲 约445米",111.62353,29.137356,256.800445688879,1.0
37,37,,2017-04-28 14:57:46,44.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距陈家冲 约147米,距皇家湾 约258米",111.62273,29.134525,324.24085111063823,2.0
38,38,,2017-04-28 14:58:18,39.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距陈家冲 约291米,距湖南新湘达门窗有限公司 约449米",111.62181000000001,29.131128000000004,388.15533503221235,2.0
39,39,,2017-04-28 14:58:50,34.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距湖南新湘达门窗有限公司 约244米,距陈家冲 约603米",111.6211,29.128296000000002,322.36739615691084,2.0
40,40,,2017-04-28 14:59:23,33.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距湖南新湘达门窗有限公司 约379米,距兄弟餐馆 约453米",111.620415,29.125202,350.4126134008932,2.0
41,41,,2017-04-28 14:59:55,0.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距兄弟餐馆 约420米,距湖南新湘达门窗有限公司 约431米",111.62058999999999,29.12475,53.05697179781151,2.0
42,42,,2017-04-28 15:00:26,0.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距兄弟餐馆 约439米,距湖南新湘达门窗有限公司 约453米",111.62097,29.124709999999997,37.17862521681359,2.0
43,43,,2017-04-28 15:00:58,11.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约396米,距兄弟餐馆 约475米",111.62163000000001,29.124605,65.16417157394967,2.0
44,44,,2017-04-28 15:01:30,8.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约310米,距中联重科武陵电梯厂 约460米",111.622505,29.124409999999997,87.71624471354424,2.0
45,45,,2017-04-28 15:02:02,16.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约230米,距中联重科武陵电梯厂 约389米",111.62333999999998,29.124515999999996,81.96056854305236,2.0
46,46,,2017-04-28 15:02:34,25.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约94米,距中联重科武陵电梯厂 约277米",111.6254,29.125113,210.8236907814973,2.0
47,47,,2017-04-28 15:03:06,0.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约137米,距中联重科武陵电梯厂 约296米",111.62586999999999,29.125522999999998,64.51895650215393,2.0
48,48,,2017-04-28 15:03:39,30.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约300米,距中联重科武陵电梯厂 约436米",111.62643,29.126929999999998,165.6378939939241,2.0
49,49,,2017-04-28 15:04:11,42.0,3.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距陈家冲 约438米,距中共大垱村支部委员会 约617米",111.62607,29.130153999999997,360.19429236102815,3.0
50,50,,2017-04-28 15:04:42,39.0,3.0,"ACC开,3D定位,天线正常",,111.62686000000001,29.129513,104.7296716115696,3.0
51,51,,2017-04-28 15:05:15,59.0,3.0,"ACC开,3D定位,天线正常",,111.6221,29.12923,463.41531629928,3.0
