Unnamed: 0,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position ,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,2017-05-05 14:17:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约197米,距常德金德山水泥有限公司 约340米",111.64041,29.16216,0.0,0
1,2017-05-05 14:17:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约197米,距常德金德山水泥有限公司 约340米",111.64041,29.16216,0.0,0
2,2017-05-05 14:18:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约197米,距常德金德山水泥有限公司 约340米",111.64041,29.16216,0.0,0
3,2017-05-05 14:18:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约197米,距常德金德山水泥有限公司 约340米",111.64041,29.16216,0.0,0
4,2017-05-05 14:19:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约197米,距常德金德山水泥有限公司 约340米",111.64041,29.16216,0.0,0
5,2017-05-05 14:22:00,15,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约155米,距鼎城永欣机械制造公司 约208米",111.63842,29.162968,213.0956002938421,0
6,2017-05-05 14:22:00,18,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约168米,距鼎城永欣机械制造公司 约276米",111.63689,29.162987,148.57752602551173,0
7,2017-05-05 14:23:00,15,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距石板滩中学 约288米,距鼎城永欣机械制造公司 约373米",111.63541399999998,29.16275,145.72202062643072,0
8,2017-05-05 14:23:00,16,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约317米,距石板滩中学 约401米",111.63551,29.161263,165.6096413129527,0
9,2017-05-05 14:24:00,10,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约341米,距常德金德山水泥有限公司 约404米",111.63553,29.159946,146.45680168595655,0
10,2017-05-05 14:24:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约353米,距常德金德山水泥有限公司 约397米",111.63555,29.159645,33.52601591168351,0
11,2017-05-05 14:25:00,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约353米,距常德金德山水泥有限公司 约397米",111.63555,29.159645,0.0,0
12,2017-05-05 14:26:00,16,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约388米,距鼎城永欣机械制造公司 约460米",111.63594,29.157785,210.261418968974,0
13,2017-05-05 14:27:00,16,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约496米,距常德市鼎城区石板滩卫生院-预防接种门诊 约521米",111.63546,29.15656,143.96799808090643,0
14,2017-05-05 14:28:00,23,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约532米,距常德市鼎城区石板滩卫生院-预防接种门诊 约618米",111.6346,29.155327000000003,160.53517082175858,0
15,2017-05-05 14:28:00,26,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约453米,距大堰 约667米",111.632645,29.15434,219.28533365816463,0
16,2017-05-05 14:29:00,22,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约481米,距大堰 约548米",111.63049,29.15324600000001,242.05662036927868,1
17,2017-05-05 14:29:00,11,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约520米,距大堰 约524米",111.62977,29.152843,83.04626358671295,1
18,2017-05-05 14:30:00,34,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距大堰 约394米,距古堤桥 约424米",111.62924,29.151290000000003,180.1927524423226,1
19,2017-05-05 14:32:00,32,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小堰 约478米,距新堰 约536米",111.624886,29.141172,1201.9072893625626,2
20,2017-05-05 14:32:00,29,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距皇家湾 约282米,距锥子岗 约539米",111.62388,29.13862,300.11905223645414,2
21,2017-05-05 14:33:00,36,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距皇家湾 约152米,距陈家冲 约292米",111.62307,29.135962,305.84750566242275,2
22,2017-05-05 14:33:00,33,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距陈家冲 约99米,距皇家湾 约374米",111.622406,29.13340800000001,291.2229477563969,2
23,2017-05-05 14:34:00,43,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距陈家冲 约353米,距湖南新湘达门窗有限公司 约394米",111.62165,29.130554,325.73517282149965,2
24,2017-05-05 14:34:00,44,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距湖南新湘达门窗有限公司 约239米,距铁山村 约586米",111.62092,29.127525,344.1926800311776,3
25,2017-05-05 14:35:00,12,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距兄弟餐馆 约413米,距湖南新湘达门窗有限公司 约428米",111.62048,29.124737,312.94410306116015,3
26,2017-05-05 14:36:00,14,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约385米,距兄弟餐馆 约477米",111.62174,29.124525,124.64077641363389,3
27,2017-05-05 14:37:00,17,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约108米,距中联重科武陵电梯厂 约272米",111.62582,29.125269,404.85617180128446,3
28,2017-05-05 14:37:00,20,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约165米,距中联重科武陵电梯厂 约307米",111.62622,29.125717,63.17602705451998,3
29,2017-05-05 14:38:00,36,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约422米,距鼎城区公安局交通警察大队三中队 约534米",111.6267,29.128,258.1044247151836,3
30,2017-05-05 14:39:00,35,4,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鹏程鱼乐饭庄 约295米,距中共大垱村支部委员会 约298米",111.629295,29.129457,299.6342893580737,4
31,2017-05-05 14:39:00,49,4,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距大垱村村委会 约99米,距中共大垱村支部委员会 约100米",111.63311000000002,29.130018,375.7691070607356,4
32,2017-05-05 14:40:00,59,4,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距廖板滩 约102米,距周家坪 约402米",111.63813,29.130926,497.9382145034613,4
33,2017-05-05 14:40:00,50,4,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距聂家冲 约204米,距廖板滩 约557米",111.64303999999998,29.131435,480.2537217436629,4
34,2017-05-05 14:41:00,59,4,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距毛栗岗村 约361米,距聂家冲 约527米",111.648026,29.131490000000003,484.3261278226342,4
35,2017-05-05 14:42:00,72,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁家咀 约399米,距朱家岗 约669米",111.6619,29.131390000000003,1347.6203705862101,6
36,2017-05-05 14:43:00,57,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁家咀 约765米,距蒿塘冲 约846米",111.66798,29.13176,591.9779139515946,6
37,2017-05-05 14:43:00,49,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距庙子岗 约530米,距毛家山 约664米",111.6725,29.13236,444.0630986963813,6
38,2017-05-05 14:44:00,0,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距庙子岗 约293米,距毛家山 约598米",111.67493,29.132395,236.0545843088411,6
39,2017-05-05 14:44:00,67,7,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距枕头坡 约585米,距庙子岗 约586米",111.68353,29.130663,857.2271804575059,7
