Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position ,Longitude,Latitude,Distance_geopy,Distance traveled (km)
1,1,1,,2017-06-22 00:00:50,0.0,0.0,"ACC开,3D定位,天线正常","湖南省株洲市株洲县,距干冲 约181米,距松树咀 约263米",113.02767,27.403181,0.0,0.0
2,2,2,,2017-06-22 00:01:38,0.0,0.0,"ACC开,3D定位,天线正常","湖南省株洲市株洲县,距干冲 约181米,距松树咀 约263米",113.02767,27.403181,0.0,0.0
3,3,3,,2017-06-22 00:02:26,37.0,0.0,"ACC开,3D定位,天线正常","湖南省株洲市株洲县,距神山村 约46米,距松树咀 约279米",113.02781,27.400837,261.00744277927106,0.0
4,4,4,,2017-06-22 00:03:14,65.0,0.0,"ACC开,3D定位,天线正常","湖南省株洲市株洲县,距彭家屋场 约353米,距碧腊塘 约602米",113.02737,27.394545,700.9866224819917,0.0
5,5,5,,2017-06-22 00:04:02,66.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距澎陂港村 约244米,距黄家冲 约518米",113.02683,27.386745,868.9586869529094,0.0
6,6,6,,2017-06-22 00:04:50,65.0,1.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距王家园里 约391米,距黄家冲 约423米",113.02629,27.378876,876.6170496479608,1.0
7,7,7,,2017-06-22 00:05:38,64.0,1.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距贺家园 约114米,距泉塘冲 约141米",113.02563,27.37078,902.5912503728613,1.0
8,8,8,,2017-06-22 00:06:26,65.0,1.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距山坳村 约250米,距摘茶冲 约275米",113.0238,27.36334,846.7987825664334,1.0
9,9,9,,2017-06-22 00:07:15,63.0,1.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县X094,距积谷仓 约215米,距官冲 约231米",113.020164,27.35601,890.6518528606673,1.0
10,10,10,,2017-06-22 00:08:03,72.0,2.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距双江口 约234米,距老屋冲 约305米",113.01495,27.349619,877.6064411806913,2.0
11,11,11,,2017-06-22 00:08:51,72.0,2.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距杨荷冲 约272米,距文家垅 约350米",113.007996,27.3437,951.2736025153713,2.0
12,12,12,,2017-06-22 00:09:39,61.0,2.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距霞塘 约456米,距大山冲 约473米",113.00097,27.338114,931.354278412094,2.0
13,13,13,,2017-06-22 00:10:26,68.0,3.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距杀茅塘 约349米,距罗家湾 约401米",112.994835,27.332502,869.8576091155506,3.0
14,14,14,,2017-06-22 00:11:14,71.0,3.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距樊家坳 约172米,距湾里冲 约327米",112.99007,27.32541,918.393810340352,3.0
15,15,15,,2017-06-22 00:12:02,72.0,3.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距张家湾 约423米,距陈家冲 约543米",112.98608,27.317486,965.2609081685024,3.0
16,16,16,,2017-06-22 00:12:51,68.0,4.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距侧桥 约260米,距秤星岭 约294米",112.98187,27.309504,980.1869605487525,4.0
17,17,17,,2017-06-22 00:13:38,72.0,4.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距车家坳 约319米,距李家湾 约640米",112.97687,27.302376,933.9545472547404,4.0
18,18,18,,2017-06-22 00:14:27,64.0,4.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距李家祠堂 约104米,距小登 约269米",112.97078,27.295843,943.3041959293305,4.0
19,19,19,,2017-06-22 00:15:15,69.0,5.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县X007,距怡家酒店 约207米,距赤里冲 约256米",112.96412,27.29033,899.3923679251901,5.0
20,20,20,,2017-06-22 00:16:03,67.0,5.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县X007,距武家坳 约236米,距唐家湾 约348米",112.95653,27.285416,927.976286033476,5.0
21,21,21,,2017-06-22 00:16:51,65.0,5.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距杨家冲 约205米,距寒水冲 约494米",112.94947,27.281006,852.791135853819,5.0
22,22,22,,2017-06-22 00:17:39,67.0,5.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县X007,距段家湾 约181米,距皮家滩 约203米",112.94216000000002,27.276451,882.2999172783341,5.0
23,23,23,,2017-06-22 00:18:27,73.0,6.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距宋家坪站 约292米,距罗家坪 约382米",112.93468,27.27156,917.7688991350703,6.0
24,24,24,,2017-06-22 00:19:15,67.0,6.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县X007,距宋家坪 约279米,距洪桥湾 约385米",112.92766,27.265865,939.3764087921942,6.0
25,25,25,,2017-06-22 00:20:03,71.0,6.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县X007,距万家坪 约384米,距阳家崎上 约393米",112.92152,27.259596,924.25441244284,6.0
26,26,26,,2017-06-22 00:20:51,68.0,7.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县X007,距文家桥 约126米,距黄家湾 约451米",112.9154,27.25321,932.8447669929628,7.0
27,27,27,,2017-06-22 00:21:39,71.0,7.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县X007,距许家冲 约303米,距李家屋场 约501米",112.908356,27.247616,933.695482956196,7.0
28,28,28,,2017-06-22 00:22:27,65.0,7.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县X007,距刘家湾 约475米,距下刘家湾 约501米",112.90188,27.241898,902.2908168586013,7.0
29,29,29,,2017-06-22 00:23:15,71.0,8.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡东县,距康家湾 约383米,距谷家塘 约409米",112.89637,27.235298,913.967230199316,8.0
