Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position ,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,0,,2017-06-08 11:33:46,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,,0.0
1,1,1,,2017-06-08 11:37:03,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
2,2,2,,2017-06-08 11:40:19,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
3,3,3,,2017-06-08 11:43:35,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
4,4,4,,2017-06-08 11:46:51,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
5,5,5,,2017-06-08 11:50:07,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
6,6,6,,2017-06-08 11:53:24,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
7,7,7,,2017-06-08 11:56:40,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
8,8,8,,2017-06-08 11:59:56,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
9,9,9,,2017-06-08 12:03:12,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
10,10,10,,2017-06-08 12:06:28,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
11,11,11,,2017-06-08 12:07:29,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
12,12,12,,2017-06-08 12:08:01,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
13,13,13,,2017-06-08 12:08:33,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
14,14,14,,2017-06-08 12:09:05,0.0,0.0,"ACC开,3D定位,天线正常","湖南省长沙市芙蓉区金泉街69号,距苏和广告 约11米,距长沙市芙蓉区火星幼儿园 约16米",113.03132,28.205248,0.0,0.0
