Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position ,Longitude,Latitude,Distance traveled (km),Distance_geopy
0,,2017-05-19 03:01:48,35.0,0.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区环山路,距王鸡公 约467米,距万巡司 约534米",114.350136,30.339895,0.0,
1,,2017-05-19 03:02:35,31.0,0.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区环山路,距曾家塝 约153米,距王鸡公 约340米",114.344635,30.340866,0.0,538.8359688615176
2,,2017-05-19 03:03:24,39.0,0.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区环山路,距蔡家 约407米,距周家海 约413米",114.34002,30.34165,0.0,451.37659249203654
3,,2017-05-19 03:04:12,38.0,0.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区东方巷,距周家海 约310米,距中建龙城西区8栋 约413米",114.33537,30.344486,0.0,546.4111391571544
4,,2017-05-19 03:05:00,0.0,0.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区X005(青龙路),距美林公寓 约235米,距江夏实验高级中学-西门 约272米",114.33096,30.345474,0.0,437.21674068341406
5,,2017-05-19 03:05:48,44.0,0.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区X005(青龙路),距江夏实验高级中学-西门 约256米,距江夏实验高中 约295米",114.32831000000002,30.345581,0.0,254.57412389623607
6,,2017-05-19 03:06:36,0.0,0.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区宁安路29,距江广超市(广宁百货店) 约9米,距武汉市江夏区第三中学(东北门) 约35米",114.32326,30.34586,0.0,485.59276332671686
7,,2017-05-19 03:13:32,30.0,3.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区东市街,距东市社区 约14米,距石洞街东市社区居民委员会 约52米",114.29739,30.343433,3.0,2497.151936763127
8,,2017-05-19 03:14:20,33.0,3.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区X003,距榨坊湾 约103米,距紫金花园 约281米",114.295364,30.33971,3.0,457.3616369669723
9,,2017-05-19 03:15:08,27.0,3.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区S101(纸金路),距紫金花园 约139米,距武汉裕龙生态园 约212米",114.29467,30.336634000000004,3.0,348.46014375086054
10,,2017-05-19 03:15:56,40.0,3.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距朱钉子湾 约401米,距朱家前湾 约422米",114.29033,30.334644,3.0,471.64181667542437
11,,2017-05-19 03:16:44,53.0,4.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距杨仙 约214米,距松树李 约325米",114.28438,30.334585,4.0,571.0676957215815
12,,2017-05-19 03:17:31,10.0,4.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区S101(纸金路),距武汉合缘绿色生物工程有限公司 约78米,距劳一村村委会 约154米",114.277565,30.335094,4.0,656.4881207163307
13,,2017-05-19 03:18:20,38.0,4.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区S101(纸金路),距聚沙汽车用品专营店 约133米,距劳一村 约162米",114.274956,30.334742,4.0,253.4294495288114
14,,2017-05-19 03:19:08,50.0,4.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区郑店路,距武汉广艺厨房设备有限公司 约61米,距易家堰 约117米",114.269264,30.333073,4.0,576.9369014058951
15,,2017-05-19 03:26:09,61.0,7.0,"ACC开,3D定位,天线正常","湖北省武汉市江夏区,距涂家咀 约498米,距洼浦湾 约668米",114.2393,30.322594,7.0,3102.974114402925
