Unnamed: 0,Unnamed: 0.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position ,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,0,,2017-04-27 14:18:52,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约205米,距常德金德山水泥有限公司 约335米",111.64056000000001,29.162081,,0.0
1,1,,2017-04-27 14:21:52,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约204米,距常德金德山水泥有限公司 约335米",111.64055800000001,29.162081,0.1942010473012948,0.0
2,2,,2017-04-27 14:23:19,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约204米,距常德金德山水泥有限公司 约335米",111.640556,29.162081,0.1942010473012948,0.0
3,3,,2017-04-27 14:23:49,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约204米,距常德金德山水泥有限公司 约335米",111.640556,29.162081,0.0,0.0
4,4,,2017-04-27 14:24:19,3.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约190米,距常德金德山水泥有限公司 约319米",111.640473,29.16195,16.64745184726559,0.0
5,5,,2017-04-27 14:24:49,5.7,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约171米,距常德金德山水泥有限公司 约317米",111.64022299999999,29.161984999999998,24.585150214501517,0.0
6,6,,2017-04-27 14:25:19,10.8,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约195米,距石板滩中学 约302米",111.64011,29.162426,50.24960571099264,0.0
7,7,,2017-04-27 14:25:49,5.3,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约204米,距石板滩中学 约230米",111.639523,29.16283,72.57270456947695,0.0
8,8,,2017-04-27 14:26:19,28.8,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约150米,距鼎城永欣机械制造公司 约211米",111.63826499999999,29.16297,123.13945918452164,0.0
9,9,,2017-04-27 14:26:49,23.3,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距石板滩中学 约240米,距鼎城永欣机械制造公司 约345米",111.63588,29.162923,231.64175977259026,0.0
10,10,,2017-04-27 14:27:19,23.6,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约333米,距石板滩中学 约348米",111.635461,29.161896000000002,121.22831075985651,0.0
11,11,,2017-04-27 14:27:49,10.7,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约329米,距常德金德山水泥有限公司 约419米",111.635503,29.160345,172.51178759103192,0.0
12,12,,2017-04-27 14:28:19,1.9,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约345米,距常德金德山水泥有限公司 约396米",111.635576,29.15976,65.43420401246753,0.0
13,13,,2017-04-27 14:28:49,0.0,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约344米,距常德金德山水泥有限公司 约395米",111.63559,29.15976,1.359438061317937,0.0
14,14,,2017-04-27 14:29:19,13.1,0.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约359米,距常德金德山水泥有限公司 约393米",111.63556799999999,29.1595,28.989540367269395,0.0
15,15,,2017-04-27 14:29:49,4.5,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约340米,距鼎城永欣机械制造公司 约373米",111.636151,29.158655,109.69634230321286,1.0
16,16,,2017-04-27 14:30:19,16.8,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约382米,距鼎城永欣机械制造公司 约453米",111.63596799999999,29.15785,91.258866469228,1.0
17,17,,2017-04-27 14:30:49,18.7,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约497米,距常德市鼎城区石板滩卫生院-预防接种门诊 约519米",111.63548,29.156515999999996,155.71963576192687,1.0
18,18,,2017-04-27 14:31:19,32.2,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约504米,距常德市鼎城区石板滩卫生院-预防接种门诊 约665米",111.63415,29.155131,200.99185540059918,1.0
19,19,,2017-04-27 14:31:49,28.6,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约447米,距大堰 约614米",111.631826,29.153935999999998,261.89167124807574,1.0
20,20,,2017-04-27 14:32:19,17.4,1.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约506米,距大堰 约533米",111.629921,29.152976000000002,213.5814469986537,1.0
21,21,,2017-04-27 14:32:49,37.9,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距大堰 约395米,距古堤桥 约417米",111.629181,29.151260999999998,203.7900397066806,2.0
22,22,,2017-04-27 14:33:19,46.7,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距新堰 约282米,距古堤桥 约356米",111.62781499999998,29.147931,393.32489039398735,2.0
23,23,,2017-04-27 14:33:49,33.0,2.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距新堰 约78米,距小堰 约134米",111.62676,29.145511,287.9372642841172,2.0
24,24,,2017-04-27 14:34:19,53.2,3.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小堰 约340米,距新堰 约391米",111.625391,29.142413,369.24908530970566,3.0
25,25,,2017-04-27 14:34:49,46.1,3.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距皇家湾 约287米,距锥子岗 约539米",111.62391299999999,29.138678000000002,439.42062808164377,3.0
26,26,,2017-04-27 14:35:19,38.5,3.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距皇家湾 约151米,距陈家冲 约302米",111.62306799999999,29.136053000000004,303.2053913021905,3.0
27,27,,2017-04-27 14:35:49,22.8,4.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距陈家冲 约102米,距皇家湾 约358米",111.622403,29.133581,282.3607424059829,4.0
28,28,,2017-04-27 14:36:19,39.2,4.0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距陈家冲 约297米,距湖南新湘达门窗有限公司 约442米",111.621715,29.131118,281.90814530839305,4.0
