Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position ,Longitude,Latitude,Distance traveled (km),Distance_geopy
1,,2017-06-22 00:01:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约125米,距卷牛堂 约286米",112.485929,27.222033000000003,0.0,0.6650239378733886
2,,2017-06-22 00:02:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约125米,距卷牛堂 约285米",112.485933,27.222038,0.0,0.682306470420522
3,,2017-06-22 00:03:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约127米,距卷牛堂 约286米",112.48594,27.222026,0.0,1.503177766769509
4,,2017-06-22 00:04:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约129米,距卷牛堂 约285米",112.485972,27.222026,0.0,3.164133810427286
5,,2017-06-22 00:05:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约129米,距卷牛堂 约286米",112.485966,27.222023,0.0,0.6806279913992618
6,,2017-06-22 00:06:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约128米,距卷牛堂 约285米",112.485969,27.222029,0.0,0.7301440361194902
7,,2017-06-22 00:07:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约128米,距卷牛堂 约284米",112.485979,27.222036,0.0,1.2583966491642316
8,,2017-06-22 00:08:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约128米,距卷牛堂 约284米",112.485976,27.222043,0.0,0.8329746676414219
9,,2017-06-22 00:09:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约127米,距卷牛堂 约284米",112.485967,27.222041,0.0,0.9172794867904079
10,,2017-06-22 00:10:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约128米,距卷牛堂 约285米",112.485969,27.22203,0.0,1.2390295821197053
11,,2017-06-22 00:11:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约128米,距卷牛堂 约285米",112.48597,27.22203,0.0,0.0988791771206412
12,,2017-06-22 00:12:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约129米,距卷牛堂 约285米",112.485975,27.222031,0.0,0.5067461308566252
13,,2017-06-22 00:13:26,0.0,0.0,"ACC开,3D定位,天线正常","湖南省衡阳市衡阳县,距铭堂 约129米,距卷牛堂 约286米",112.485977,27.222024,0.0,0.8030948609482882
