,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
0,,2017-04-24 10:29:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约520米,距程家河 约626米",111.65765,28.986172,0,
1,,2017-04-24 10:29:31,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约520米,距万嘉物流 约627米",111.657683,28.986135,0,5.218194885583107
2,,2017-04-24 10:30:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约521米,距万嘉物流 约626米",111.657692,28.986118,0,2.083175007375893
3,,2017-04-24 10:30:31,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约520米,距万嘉物流 约627米",111.65769,28.986124,0,0.6949529067245345
4,,2017-04-24 10:31:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约520米,距万嘉物流 约627米",111.657691,28.986123,0,0.1477332460369895
5,,2017-04-24 10:31:31,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约520米,距万嘉物流 约627米",111.657691,28.986122,0,0.11119508345653309
6,,2017-04-24 10:32:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约520米,距万嘉物流 约627米",111.657691,28.986122,0,0.0
7,,2017-04-24 10:32:31,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约520米,距万嘉物流 约627米",111.657691,28.986122,0,0.0
8,,2017-04-24 10:33:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约520米,距万嘉物流 约627米",111.65769,28.986125,0,0.34747645248242776
9,,2017-04-24 10:33:31,8,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约505米,距万嘉物流 约610米",111.65786,28.986165000000003,0,17.123053310334658
10,,2017-04-24 10:34:01,6,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约468米,距万嘉物流 约610米",111.657857,28.98672,0,61.71396131766446
11,,2017-04-24 10:34:31,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约451米,距万嘉物流 约607米",111.657905,28.986936,0,24.4676983602626
12,,2017-04-24 10:35:01,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约417米,距万嘉物流 约569米",111.6583,28.986956,0,38.48425843575164
13,,2017-04-24 10:35:31,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约417米,距万嘉物流 约569米",111.658302,28.986954,0,0.29546546171799265
14,,2017-04-24 10:36:01,36,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约301米,距万嘉物流 约534米",111.658958,28.988086,0,141.12111262840799
15,,2017-04-24 10:36:31,50,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距芮家河 约351米,距郭家铺 约662米",111.659373,28.991386,0,369.15715001840266
16,,2017-04-24 10:37:01,41,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距陈家巷 约568米,距芮家河 约701米",111.65951499999998,28.995066,1,409.4309082904157
17,,2017-04-24 10:37:31,46,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距陈家巷 约715米,距和尚湖 约821米",111.659607,28.998433,1,374.50075040673585
18,,2017-04-24 10:38:01,0,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距和尚湖 约682米,距小樟树 约857米",111.659641,29.000585,1,239.31466527530318
19,,2017-04-24 10:38:31,0,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距和尚湖 约682米,距小樟树 约857米",111.659641,29.000586,1,0.11119508345653309
20,,2017-04-24 10:39:01,42,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距和尚湖 约627米,距小樟树 约718米",111.659677,29.001854,1,141.0388274583747
21,,2017-04-24 10:39:31,30,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小樟树 约313米,距和尚湖 约645米",111.659779,29.005643,2,421.4349279529016
22,,2017-04-24 10:40:01,46,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小樟树 约155米,距和尚湖 约747米",111.659777,29.007459000000004,2,201.93036571003412
23,,2017-04-24 10:40:31,50,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小樟树 约333米,距九房河 约372米",111.659829,29.010991,2,392.77358823035433
24,,2017-04-24 10:41:01,7,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距九房河 约127米,距小樟树 约577米",111.659841,29.013292,3,255.86254859212832
25,,2017-04-24 10:41:31,47,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距九房河 约194米,距西站村 约458米",111.659389,29.015769,3,278.91507211007365
26,,2017-04-24 10:42:01,48,3,"ACC开,3D定位,天线正常","湖南省常德市武陵区,距白毛溃 约573米,距金洲酒店 约575米",111.657159,29.018858,3,406.20028512571355
27,,2017-04-24 10:42:31,56,4,"ACC开,3D定位,天线正常","湖南省常德市武陵区沅安西路,距白毛溃 约215米,距青泥湾 约275米",111.654407,29.022305,4,467.45500913071015
