Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
2,,2017-04-11 15:40:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.64000300000001,29.162352000000002,0,0.14762387589192805
3,,2017-04-11 15:40:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.640004,29.162351,0,0.14762387580267836
4,,2017-04-11 15:41:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.640004,29.16235,0,0.1111950845175192
5,,2017-04-11 15:41:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.64000300000001,29.162352000000002,0,0.2426640662829561
6,,2017-04-11 15:42:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.640002,29.162352000000002,0,0.09710026798855033
7,,2017-04-11 15:42:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.640002,29.162351,0,0.11119508345653308
8,,2017-04-11 15:43:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.640002,29.162352000000002,0,0.11119508345653308
9,,2017-04-11 15:43:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.640002,29.162352000000002,0,0.0
10,,2017-04-11 15:44:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.640002,29.162352000000002,0,0.0
11,,2017-04-11 15:44:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.640002,29.162352000000002,0,0.0
12,,2017-04-11 15:45:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.640001,29.162352000000002,0,0.09710026675321946
13,,2017-04-11 15:45:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.640002,29.162351,0,0.14762387499013396
14,,2017-04-11 15:46:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约182米,距石板滩中学 约300米",111.640002,29.162351,0,0.0
15,,2017-04-11 15:46:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约180米,距石板滩中学 约301米",111.639991,29.162334,0,2.171207104471724
16,,2017-04-11 15:47:05,7,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约199米,距石板滩中学 约301米",111.64013,29.162457,0,19.215289739350396
17,,2017-04-11 15:47:35,11,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距鼎城永欣机械制造公司 约201米,距石板滩中学 约234米",111.639546,29.162792,0,67.84692520025476
18,,2017-04-11 15:48:05,12,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约164米,距鼎城永欣机械制造公司 约205米",111.63861499999999,29.162958000000003,0,92.26511695868756
19,,2017-04-11 15:48:35,14,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G207(锡海线),距石板滩中学 约149米,距鼎城永欣机械制造公司 约241米",111.63745,29.162956,0,113.12136381313671
20,,2017-04-11 15:49:05,18,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距石板滩中学 约237米,距鼎城永欣机械制造公司 约342米",111.63591799999999,29.162922,0,148.80479390145314
21,,2017-04-11 15:49:35,20,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约330米,距石板滩中学 约349米",111.63548600000001,29.161872999999996,0,123.95690839466104
22,,2017-04-11 15:50:05,14,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约323米,距常德金德山水泥有限公司 约421米",111.635527,29.160478,0,155.16822254091153
23,,2017-04-11 15:50:35,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约347米,距常德金德山水泥有限公司 约393米",111.63559199999999,29.159689,0,87.95966376305924
24,,2017-04-11 15:51:05,0,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约346米,距常德金德山水泥有限公司 约393米",111.635599,29.1597,0,1.3993228703973484
25,,2017-04-11 15:51:35,19,0,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距鼎城永欣机械制造公司 约373米,距常德金德山水泥有限公司 约377米",111.635718,29.159079,0,70.0123071943808
26,,2017-04-11 15:52:05,0,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约376米,距鼎城永欣机械制造公司 约447米",111.636026,29.15787700000001,1,136.96184357403047
27,,2017-04-11 15:52:35,0,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约377米,距鼎城永欣机械制造公司 约448米",111.63601299999999,29.15788,1,1.3056906323995912
28,,2017-04-11 15:53:05,19,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距常德金德山水泥有限公司 约447米,距常德市鼎城区石板滩卫生院-预防接种门诊 约510米",111.635625,29.157139,1,90.60110416550744
29,,2017-04-11 15:53:35,14,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约548米,距常德市鼎城区石板滩卫生院-预防接种门诊 约589米",111.63486999999999,29.155475,1,199.02432461609845
30,,2017-04-11 15:54:05,38,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约455米,距大堰 约677米",111.63278799999999,29.15441400000001,1,234.0822111243729
31,,2017-04-11 15:54:35,28,1,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距余家岗 约498米,距大堰 约536米",111.630075,29.15305,1,303.99412440916717
32,,2017-04-11 15:55:05,37,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距大堰 约386米,距古堤桥 约413米",111.629171,29.151156,2,228.16760816247452
33,,2017-04-11 15:55:35,21,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距古堤桥 约334米,距大堰 约337米",111.628143,29.148685999999998,2,292.2326170946058
34,,2017-04-11 15:56:05,37,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距新堰 约123米,距小堰 约203米",111.62718500000001,29.146433000000002,2,267.2398373944528
35,,2017-04-11 15:56:35,35,2,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小堰 约151米,距新堰 约177米",111.626259,29.144302000000003,2,253.44790947516827
36,,2017-04-11 15:57:05,38,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距小堰 约429米,距新堰 约487米",111.625103,29.141585,3,322.3027501840678
37,,2017-04-11 15:57:35,39,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距皇家湾 约302米,距锥子岗 约541米",111.62401499999999,29.138835999999998,3,323.4239904537586
38,,2017-04-11 15:58:05,26,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距皇家湾 约181米,距陈家冲 约460米",111.62353999999999,29.137491999999998,3,156.40480555282988
39,,2017-04-11 15:58:35,30,3,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距皇家湾 约175米,距陈家冲 约246米",111.622974,29.135526000000002,3,225.41542318701042
40,,2017-04-11 15:59:05,32,4,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距陈家冲 约97米,距皇家湾 约364米",111.62243600000001,29.133494,4,231.91199913469242
41,,2017-04-11 15:59:35,21,4,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距陈家冲 约218米,距湖南新湘达门窗有限公司 约518米",111.621987,29.131821000000002,4,191.07279980257155
42,,2017-04-11 16:00:05,46,4,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距湖南新湘达门窗有限公司 约283米,距陈家冲 约507米",111.62129099999999,29.129165000000004,4,302.9725842747393
43,,2017-04-11 16:00:35,30,4,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距湖南新湘达门窗有限公司 约272米,距铁山村 约547米",111.620745,29.126657,4,283.87531068704965
44,,2017-04-11 16:01:05,19,5,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距兄弟餐馆 约428米,距湖南新湘达门窗有限公司 约439米",111.62073999999998,29.124737,5,213.4951131753672
45,,2017-04-11 16:01:35,17,5,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约348米,距中联重科武陵电梯厂 约498米",111.622125,29.124511,5,136.86021524169192
46,,2017-04-11 16:02:05,24,5,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约208米,距中联重科武陵电梯厂 约370米",111.62357,29.124536,5,140.38907455094912
47,,2017-04-11 16:02:35,11,5,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约88米,距中联重科武陵电梯厂 约273米",111.62532399999999,29.125025,5,178.84241311944794
48,,2017-04-11 16:03:05,0,5,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约89米,距中联重科武陵电梯厂 约269米",111.625479,29.125079,5,16.20918704263597
49,,2017-04-11 16:03:35,0,5,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约89米,距中联重科武陵电梯厂 约269米",111.625477,29.125079,5,0.19427099073695706
50,,2017-04-11 16:04:05,0,5,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约89米,距中联重科武陵电梯厂 约269米",111.625476,29.125079,5,0.09713549598636803
51,,2017-04-11 16:04:35,0,5,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约89米,距中联重科武陵电梯厂 约269米",111.625475,29.125078000000002,5,0.1476470503600628
52,,2017-04-11 16:05:05,0,5,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约100米,距中联重科武陵电梯厂 约270米",111.625707,29.125202,5,26.418921653210568
53,,2017-04-11 16:05:35,0,5,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约118米,距中联重科武陵电梯厂 约279米",111.62586100000001,29.125351000000002,5,22.321910355414662
54,,2017-04-11 16:06:05,20,5,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约177米,距中联重科武陵电梯厂 约318米",111.626255,29.125822999999997,5,64.95585471619688
55,,2017-04-11 16:06:35,48,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距铁山村 约463米,距鼎城区升湘机械有限责任公司 约536米",111.626269,29.128446000000004,6,291.66787474843363
56,,2017-04-11 16:07:05,37,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区G56(杭瑞高速),距鼎城区升湘机械有限责任公司 约313米,距鹏程鱼乐饭庄 约468米",111.62763100000001,29.130106,6,227.09616874154145
57,,2017-04-11 16:07:35,62,6,"ACC开,3D定位,天线正常","湖南省常德市鼎城区,距陈家冲 约453米,距湖南新湘达门窗有限公司 约506米",111.623659,29.129258,6,397.1607802544224
