Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Latitude,Longitude,Distance traveled (km),Distance_geopy
0,0,1970-01-01 00:00:00,0,"湖南省常德市武陵区东风路,距聪聪幼儿园 约136米,距德穗粮油批发部 约138米",111,722509,29,40437,"ACC开,3D定位,天线正常",
1,0,1970-01-01 00:00:00,0,"湖南省常德市武陵区东风路,距聪聪幼儿园 约124米,距德穗粮油批发部 约130米",111,722529,29,40317,"ACC开,3D定位,天线正常",10950332.598518958
2,0,1970-01-01 00:00:00,0,"湖南省常德市武陵区东风路,距聪聪幼儿园 约124米,距德穗粮油批发部 约130米",111,722526,29,40319,"ACC开,3D定位,天线正常",194504.50188618107
3,27,1970-01-01 00:00:00,0,"湖南省常德市武陵区刘家坪路,距恒盛华园 约140米,距庆丰幼儿园 约146米",111,721997,29,41679,"ACC开,3D定位,天线正常",7607459.004679487
4,29,1970-01-01 00:00:00,0,"湖南省常德市武陵区洞庭大道,距恒盛商务宾馆 约20米,距恒盛华园-北门 约37米",111,721925,29,43391,"ACC开,3D定位,天线正常",8320376.853296281
5,46,1970-01-01 00:00:00,0,"湖南省常德市武陵区紫缘路,距三一翡翠湾二期 约144米,距香港艾乐国际翡翠湾幼儿园 约193米",111,719676,29,50564,"ACC开,3D定位,天线正常",2620036.8738070824
6,44,1970-01-01 00:00:00.000000001,1,"湖南省常德市武陵区S306(丹阳路),距七里桥 约120米,距紫桥二区 约175米",111,714484,29,57414,"ACC开,3D定位,天线正常",972243.3354792129
7,16,1970-01-01 00:00:00.000000001,1,"湖南省常德市武陵区荷花路,距新世纪超市 约80米,距新世纪花园 约94米",111,71184,29,61732,"ACC开,3D定位,天线正常",194504.5018861788
8,53,1970-01-01 00:00:00.000000001,1,"湖南省常德市武陵区沙港东路,距乐源汽车服务 约36米,距世博视青少年视力康复中心 约144米",111,709917,29,64671,"ACC开,3D定位,天线正常",5673381.1201824825
9,0,1970-01-01 00:00:00.000000001,1,"湖南省常德市武陵区紫菱路1053,距家和商务宾馆 约53米,距南坪岗社区 约56米",111,708797,29,66494,"ACC开,3D定位,天线正常",2233256.188115816
10,0,1970-01-01 00:00:00.000000001,1,"湖南省常德市武陵区紫菱路1053,距家和商务宾馆 约53米,距南坪岗社区 约56米",111,708796,29,66494,"ACC开,3D定位,天线正常",0.0
11,64,1970-01-01 00:00:00.000000002,2,"湖南省常德市武陵区新河路199,距德泉办公家具 约29米,距下闻家 约56米",111,701649,29,70808,"ACC开,3D定位,天线正常",583457.750971869
12,0,1970-01-01 00:00:00.000000002,2,"湖南省常德市武陵区新河路431,距南坪中学 约58米,距常德市第十四中学 约68米",111,696291,29,71292,"ACC开,3D定位,天线正常",11243106.312163567
13,0,1970-01-01 00:00:00.000000002,2,"湖南省常德市武陵区新河路431,距南坪中学 约58米,距常德市第十四中学 约68米",111,696292,29,71291,"ACC开,3D定位,天线正常",97253.12142692212
14,47,1970-01-01 00:00:00.000000002,2,"湖南省常德市武陵区新河路599,距卡登堡 约22米,距柒号餐厅(火车站店) 约26米",111,692451,29,71513,"ACC开,3D定位,天线正常",12173351.435087396
15,27,1970-01-01 00:00:00.000000002,2,"湖南省常德市武陵区新河路963,距华为IDS2000模块化数据中心解决方案 约61米,距非常城市汽车音响 约69米",111,689202,29,71773,"ACC开,3D定位,天线正常",9355259.81646321
16,29,1970-01-01 00:00:00.000000002,2,"湖南省常德市武陵区林荫路,距金生欢乐园 约74米,距丁玲公园-北门 约74米",111,684912,29,7214,"ACC开,3D定位,天线正常",10875546.990892123
17,11,1970-01-01 00:00:00.000000003,3,"湖南省常德市武陵区三星路,距常德五菱汽车销售服务有限公司 约231米,距东风悦达起亚（东亚专营店） 约308米",111,67875,29,72638,"ACC开,3D定位,天线正常",9015535.691120487
18,29,1970-01-01 00:00:00.000000003,3,"湖南省常德市武陵区芙蓉路,距常德湘盛汽车销售服务有限公司 约339米,距周胖子农庄 约450米",111,675205,29,72888,"ACC开,3D定位,天线正常",10176990.505022783
19,0,1970-01-01 00:00:00.000000003,3,"湖南省常德市鼎城区,距东星家居广场 约411米,距A家家居 约411米",111,669731,29,73383,"ACC开,3D定位,天线正常",11987984.114571774
20,51,1970-01-01 00:00:00.000000003,3,"湖南省常德市鼎城区,距汤家大屋 约333米,距兴发村公寓安置小区 约421米",111,667206,29,73559,"ACC开,3D定位,天线正常",13551810.878890242
21,0,1970-01-01 00:00:00.000000003,3,"湖南省常德市鼎城区杨桥河路,距汤家大屋 约117米,距杨桥村委会 约272米",111,662621,29,73976,"ACC开,3D定位,天线正常",5485540.011228976
22,48,1970-01-01 00:00:00.000000004,4,"湖南省常德市鼎城区杨桥河路,距杨桥 约362米,距汤家大屋 约439米",111,659319,29,74168,"ACC开,3D定位,天线正常",13440974.897593515
23,40,1970-01-01 00:00:00.000000004,4,"湖南省常德市鼎城区,距黄李家 约207米,距谢家 约374米",111,650429,29,75082,"ACC开,3D定位,天线正常",13396481.534120856
24,38,1970-01-01 00:00:00.000000005,5,"湖南省常德市鼎城区,距三星当村 约347米,距紫色光广告传播 约349米",111,641627,29,77656,"ACC开,3D定位,天线正常",5202835.155131546
25,10,1970-01-01 00:00:00.000000005,5,"湖南省常德市鼎城区G207(常澧路),距高桥 约324米,距三兴档村 约352米",111,635417,29,80007,"ACC开,3D定位,天线正常",13460751.665611476
26,6,1970-01-01 00:00:00.000000005,5,"湖南省常德市武陵区G207(常澧路),距高桥 约191米,距四口堰 约345米",111,633891,29,80573,"ACC开,3D定位,天线正常",12999177.413815027
27,52,1970-01-01 00:00:00.000000005,5,"湖南省常德市武陵区,距双解口 约332米,距四口堰 约414米",111,628786,29,8246,"ACC开,3D定位,天线正常",3198676.2652499243
28,36,1970-01-01 00:00:00.000000006,6,"湖南省常德市武陵区,距樟树垱 约324米,距白鹤庵村 约444米",111,62129,29,85338,"ACC开,3D定位,天线正常",5013774.135684882
29,9,1970-01-01 00:00:00.000000006,6,"湖南省常德市鼎城区,距熊家塝 约439米,距廖家坪 约527米",111,61866,29,89666,"ACC开,3D定位,天线正常",777878.533276703
30,45,1970-01-01 00:00:00.000000006,6,"湖南省常德市鼎城区,距白马岗村 约322米,距熊家塝 约546米",111,616809,29,92719,"ACC开,3D定位,天线正常",13523053.70994806
