Unnamed: 0,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
1,,2017-08-18 00:01:26,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约121米,距东华村第二工业园区 约446米",104.160402,30.687828000000003,0,0.14665668065011486
2,,2017-08-18 00:02:26,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约121米,距东华村第二工业园区 约446米",104.160402,30.687828999999997,0,0.11119508345653303
3,,2017-08-18 00:03:26,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约121米,距东华村第二工业园区 约446米",104.160402,30.687829999999998,0,0.11119508345653308
4,,2017-08-18 00:04:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约121米,距东华村第二工业园区 约447米",104.160402,30.687831,0,0.1111950838101951
5,,2017-08-18 00:05:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160399,30.687834000000002,0,0.4399700333625498
6,,2017-08-18 00:06:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160398,30.687834000000002,0,0.09562339666519144
7,,2017-08-18 00:07:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.16039599999999,30.687833,0,0.2212231529533781
8,,2017-08-18 00:08:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160394,30.687832,0,0.22122315553982247
9,,2017-08-18 00:09:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160394,30.687833,0,0.11119508345653303
10,,2017-08-18 00:10:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160394,30.687831,0,0.22239016762039024
11,,2017-08-18 00:11:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160395,30.687829999999998,0,0.14665667833503698
12,,2017-08-18 00:12:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160394,30.687828999999997,0,0.14665667871269655
13,,2017-08-18 00:13:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160394,30.687828999999997,0,0.0
14,,2017-08-18 00:14:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160395,30.687834999999996,0,0.6739883633128422
15,,2017-08-18 00:15:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160394,30.687834000000002,0,0.14665667628810553
16,,2017-08-18 00:16:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160393,30.687834000000002,0,0.0956233978817332
17,,2017-08-18 00:17:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160393,30.687832,0,0.22239016726672825
18,,2017-08-18 00:18:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约120米,距东华村第二工业园区 约447米",104.160392,30.687832,0,0.09562339864612468
19,,2017-08-18 00:19:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约119米,距东华村第二工业园区 约448米",104.160387,30.687834999999996,0,0.5829879730856438
20,,2017-08-18 00:20:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约119米,距东华村第二工业园区 约448米",104.160386,30.687835999999997,0,0.14665667441107968
21,,2017-08-18 00:21:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约119米,距东华村第二工业园区 约448米",104.16038499999999,30.687838,0,0.2420768893152018
22,,2017-08-18 00:22:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约119米,距东华村第二工业园区 约448米",104.160383,30.687839,0,0.2212231459106825
23,,2017-08-18 00:23:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约119米,距东华村第二工业园区 约449米",104.160382,30.68784,0,0.14665667290044102
24,,2017-08-18 00:24:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约118米,距东华村第二工业园区 约449米",104.160381,30.687842,0,0.2420768877502148
25,,2017-08-18 00:25:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约118米,距东华村第二工业园区 约449米",104.16038,30.687843,0,0.1466566706948757
26,,2017-08-18 00:26:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约117米,距东华村第二工业园区 约450米",104.16036899999999,30.687844000000002,0,1.0577183282427984
27,,2017-08-18 00:27:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约117米,距东华村第二工业园区 约450米",104.160371,30.687846,0,0.2933133390634452
28,,2017-08-18 00:28:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约117米,距东华村第二工业园区 约450米",104.16037,30.687848,0,0.2420768854027341
29,,2017-08-18 00:29:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约117米,距东华村第二工业园区 约450米",104.16036899999999,30.687849,0,0.14665666628374455
30,,2017-08-18 00:30:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约117米,距东华村第二工业园区 约450米",104.16036899999999,30.687849,0,0.0
31,,2017-08-18 00:31:56,0,0,"ACC开,3D定位,天线正常","四川省成都市成华区民兴路,距理工东苑 约117米,距东华村第二工业园区 约450米",104.160368,30.687851000000002,0,0.24207688455389434
