,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
0,,2017-05-04 04:26:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区G4(京港澳高速),距湘麓驾校(黎托分校)-北门 约161米,距家庭招待所 约186米",113.056611,28.16902,0,
1,,2017-05-04 04:27:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区G4(京港澳高速),距湘麓驾校(黎托分校)-北门 约166米,距家庭招待所 约184米",113.056652,28.168987,0,5.442181834781282
2,,2017-05-04 04:28:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区G4(京港澳高速),距湘麓驾校(黎托分校)-北门 约170米,距家庭招待所 约189米",113.056706,28.16902,0,6.440833880176173
3,,2017-05-04 04:29:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区G4(京港澳高速),距湘麓驾校(黎托分校)-北门 约191米,距东塘坪 约196米",113.056986,28.169292,0,40.842378020834516
4,,2017-05-04 04:30:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区G4(京港澳高速),距东塘坪 约190米,距湘麓驾校(黎托分校)-北门 约198米",113.057055,28.169311,0,7.0859912499591475
5,,2017-05-04 04:31:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区G4(京港澳高速),距东塘坪 约191米,距湘麓驾校(黎托分校)-北门 约198米",113.057056,28.169307,0,0.4554540552220158
6,,2017-05-04 04:32:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区G4(京港澳高速),距东塘坪 约191米,距湘麓驾校(黎托分校)-北门 约198米",113.057053,28.169306,0,0.31439466228502105
7,,2017-05-04 04:33:42,25,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区G4(京港澳高速),距东塘坪 约96米,距湘麓驾校(黎托分校)-北门 约264米",113.057137,28.170943,0,182.21249094785583
8,,2017-05-04 04:34:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区G4(京港澳高速),距雨花立交桥 约208米,距湖南省长潭高速公路管理处 约244米",113.056194,28.172522,0,198.42270393994798
9,,2017-05-04 04:35:42,0,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区G4(京港澳高速),距鸿运达驾校(长沙大道分校) 约166米,距鸿运达驾校-报名大厅 约175米",113.055355,28.172736,0,85.61360505951461
10,,2017-05-04 04:36:42,22,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区G4(京港澳高速),距长沙市雨花区黎托街道体育新城社区居民委员会 约134米,距中共长沙市雨花区黎托街道体育新城社区支部委员会 约137米",113.054908,28.172665,0,44.52125026906749
11,,2017-05-04 04:37:42,32,0,"ACC开,3D定位,天线正常","湖南省长沙市雨花区新雨路,距茂华国际湘 约263米,距大桥农贸市场 约46米",113.047412,28.172116,0,737.3038577115964
12,,2017-05-04 04:38:42,63,1,"ACC开,3D定位,天线正常","湖南省长沙市雨花区圭塘河西路,距湖南新华雅实业集团有限公司 约70米,距江山物流 约95米",113.03821,28.172375,1,902.4585779227135
13,,2017-05-04 04:39:42,58,1,"ACC开,3D定位,天线正常","湖南省长沙市雨花区新雨路,距恒鑫不锈钢制品厂 约44米,距友谊村安置房建设工程项目 约107米",113.027076,28.172804,1,1092.4160453030365
14,,2017-05-04 04:40:42,61,2,"ACC开,3D定位,天线正常","湖南省长沙市雨花区车站南路241号,距富湘粮油 约47米,距徐记二手轮胎 约55米",113.016325,28.173138,2,1054.4821732309515
15,,2017-05-04 04:41:42,23,2,"ACC开,3D定位,天线正常","湖南省长沙市雨花区红花坡路,距菁华源 约91米,距雨花区人民检察院家属宿舍 约110米",113.010752,28.174061,2,555.8277109767545
16,,2017-05-04 04:42:42,65,3,"ACC开,3D定位,天线正常","湖南省长沙市雨花区劳动中路418号,距湖南中烟有限责任工业公司长沙卷烟厂 约148米,距赤岗岭 约48米",113.010485,28.165569,3,944.6312953125982
17,,2017-05-04 04:43:42,60,3,"ACC开,3D定位,天线正常","湖南省长沙市雨花区新塘冲巷301号,距长沙市雨花区砂子塘市容环境卫生管理所 约39米,距砂子塘派出所-东北门 约38米",113.007197,28.156375,3,1071.9378017953359
18,,2017-05-04 04:44:42,69,4,"ACC开,3D定位,天线正常","湖南省长沙市天心区南二环,距新中路商住楼 约39米,距经贸局宿舍 约43米",112.997555,28.151601,4,1084.1446987810089
19,,2017-05-04 04:45:42,72,4,"ACC开,3D定位,天线正常","湖南省长沙市天心区湖开路,距静谧园-南门 约9米,距百姓领购网(天心区导购店) 约31米",112.986495,28.150366,4,1093.0005127032796
20,,2017-05-04 04:46:42,70,5,"ACC开,3D定位,天线正常","湖南省长沙市天心区南二环,距南郊公园 约438米,距松下电器 约115米",112.977124,28.146766,5,1002.1858028068384
21,,2017-05-04 04:47:42,62,5,"ACC开,3D定位,天线正常","湖南省长沙市天心区湘江猴子石大桥,距猴子石大桥 约301米,距万科紫台 约375米",112.965723,28.144183,5,1154.1382647897888
22,,2017-05-04 04:48:42,63,6,"ACC开,3D定位,天线正常","湖南省长沙市岳麓区许家洲路,距兰亭湾畔 约123米,距我家餐馆 约49米",112.954788,28.142176,6,1095.1420209814603
23,,2017-05-04 04:49:42,52,6,"ACC开,3D定位,天线正常","湖南省长沙市岳麓区联丰路,距长沙启航门窗有限公司 约104米,距许家洲 约108米",112.944789,28.142487,6,981.0061492403561
24,,2017-05-04 04:50:42,69,7,"ACC开,3D定位,天线正常","湖南省长沙市岳麓区联丰路,距中海国际社区-南门 约138米,距建业混凝土公司 约177米",112.933495,28.142852,7,1108.1104928351476
