,Index,Date and Time,Speed (km/h),Status,Position,Longitude,Latitude,Distance traveled (km),Distance_geopy
0,,2017-04-27 19:47:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约171米,距金腾科技园 约244米",112.673165,28.277603000000003,0,
1,,2017-04-27 19:47:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约171米,距金腾科技园 约243米",112.673169,28.277604999999998,0,0.4504302144744135
2,,2017-04-27 19:48:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约171米,距金腾科技园 约243米",112.67317,28.27761,0,0.5645334712538939
3,,2017-04-27 19:48:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约171米,距金腾科技园 约242米",112.67317,28.277612,0,0.2223901679740523
4,,2017-04-27 19:49:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约169米,距金腾科技园 约242米",112.673158,28.277621999999997,1,1.6178084709172142
5,,2017-04-27 19:49:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.673162,28.277581,4,4.575794652369476
6,,2017-04-27 19:50:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约247米",112.67315900000001,28.277571999999996,1,1.0429844170749012
7,,2017-04-27 19:50:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约247米",112.673157,28.277572999999997,0,0.22521515839736322
8,,2017-04-27 19:51:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约247米",112.673157,28.277572999999997,0,0.0
9,,2017-04-27 19:51:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约247米",112.673157,28.277573999999998,0,0.1111950838101951
10,,2017-04-27 19:52:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约247米",112.67315900000001,28.277573999999998,0,0.195850758953009
11,,2017-04-27 19:52:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约247米",112.67315900000001,28.277575,0,0.11119508416385716
12,,2017-04-27 19:53:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约247米",112.67316000000001,28.277575,0,0.09792537855710073
13,,2017-04-27 19:53:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约247米",112.67315900000001,28.277576,0,0.14816789919026604
14,,2017-04-27 19:54:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.67316000000001,28.277577,0,0.14816789831721291
15,,2017-04-27 19:54:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.67316000000001,28.277577,0,0.0
16,,2017-04-27 19:55:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.67316100000001,28.277577,0,0.0979253754724651
17,,2017-04-27 19:55:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.673162,28.277577,0,0.09792537671829317
18,,2017-04-27 19:56:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.673162,28.277578000000002,0,0.11119508416385716
19,,2017-04-27 19:56:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.67316299999999,28.277578000000002,0,0.09792537330723321
20,,2017-04-27 19:57:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.67316299999999,28.277579,0,0.11119508310287102
21,,2017-04-27 19:57:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.67316399999999,28.27758,0,0.14816789675969996
22,,2017-04-27 19:58:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.673165,28.277581,0,0.14816789668288166
23,,2017-04-27 19:58:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.67316399999999,28.277581,0,0.09792537304067765
24,,2017-04-27 19:59:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.67316299999999,28.27758,0,0.1481678966060633
25,,2017-04-27 19:59:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.673162,28.27758,0,0.0979253714684255
26,,2017-04-27 20:00:23,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.673162,28.27758,0,0.0
27,,2017-04-27 20:00:53,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约172米,距金腾科技园 约246米",112.67316299999999,28.27758,0,0.0979253714684255
