Index,Date and Time,Speed (km/h),Distance traveled (km),Distance traveled (km),Status,Position,Latitude,Longitude
,2017-04-29 00:00:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约230米",114.694451,35.443526
,2017-04-29 00:01:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约229米",114.694446,35.443518
,2017-04-29 00:02:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约229米",114.69445,35.443513
,2017-04-29 00:03:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约229米",114.69445,35.443511
,2017-04-29 00:04:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约229米",114.69445,35.443511
,2017-04-29 00:05:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694448,35.443511
,2017-04-29 00:06:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694445,35.443512
,2017-04-29 00:07:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694442,35.443511
,2017-04-29 00:08:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694433,35.443512
,2017-04-29 00:09:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694436,35.443509
,2017-04-29 00:10:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694439,35.443507
,2017-04-29 00:11:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约227米",114.694453,35.443497
,2017-04-29 00:12:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约227米",114.694458,35.443495
,2017-04-29 00:13:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.69446,35.443495
,2017-04-29 00:14:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694462,35.443494
,2017-04-29 00:15:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694462,35.443494
,2017-04-29 00:16:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约227米",114.694462,35.443492
,2017-04-29 00:17:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约227米",114.694458,35.443491
,2017-04-29 00:18:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约227米",114.694458,35.443491
,2017-04-29 00:19:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约227米",114.694459,35.443492
,2017-04-29 00:20:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约227米",114.694461,35.443489
,2017-04-29 00:21:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约227米",114.694476,35.443475
,2017-04-29 00:22:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694482,35.443484
,2017-04-29 00:23:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.69448,35.443486
,2017-04-29 00:24:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694477,35.443489
,2017-04-29 00:25:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694473,35.443493
,2017-04-29 00:26:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694481,35.443491
,2017-04-29 00:27:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694479,35.44349
,2017-04-29 00:28:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694483,35.44349
,2017-04-29 00:29:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约229米",114.694481,35.443494
,2017-04-29 00:30:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约229米",114.694492,35.443488
,2017-04-29 00:31:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约228米",114.694478,35.443494
,2017-04-29 00:32:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约229米",114.694478,35.443497
,2017-04-29 00:33:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约229米",114.694483,35.443496
,2017-04-29 00:34:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约229米",114.694485,35.443499
,2017-04-29 00:35:23,0,0,0,"ACC开,3D定位,天线正常","河南省安阳市滑县,距安阳市鹰牌齿科材料有限公司 约229米",114.694488,35.443495
