Index,Date and Time,Speed (km/h),Distance traveled (km),Distance traveled (km),Status,Position,Latitude,Longitude
,2017-06-06 15:21:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约209米,距邦普循环科技园 约336米",112.672044,28.276454
,2017-06-06 15:21:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约209米,距邦普循环科技园 约336米",112.672043,28.276455
,2017-06-06 15:21:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约209米,距邦普循环科技园 约336米",112.672042,28.276457
,2017-06-06 15:22:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约336米",112.672043,28.276461
,2017-06-06 15:22:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约336米",112.672042,28.276463
,2017-06-06 15:22:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约336米",112.672043,28.276465
,2017-06-06 15:23:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约336米",112.672041,28.276466
,2017-06-06 15:23:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672041,28.276468
,2017-06-06 15:23:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672041,28.276468
,2017-06-06 15:24:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约207米,距邦普循环科技园 约336米",112.672042,28.276467
,2017-06-06 15:24:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约209米,距邦普循环科技园 约335米",112.672032,28.276454
,2017-06-06 15:24:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约209米,距邦普循环科技园 约334米",112.672029,28.276455
,2017-06-06 15:25:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约335米",112.67203,28.276456
,2017-06-06 15:25:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约335米",112.67203,28.276456
,2017-06-06 15:25:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约335米",112.672031,28.276456
,2017-06-06 15:26:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约335米",112.67203,28.276457
,2017-06-06 15:26:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约335米",112.672031,28.276457
,2017-06-06 15:26:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约335米",112.672032,28.276457
,2017-06-06 15:27:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约335米",112.672033,28.276458
,2017-06-06 15:27:30,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约335米",112.672034,28.276458
,2017-06-06 15:27:50,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约335米",112.672034,28.276458
,2017-06-06 15:28:10,0,0,0,"ACC开,3D定位,天线正常","湖南省长沙市宁乡县银洲路,距窑家坡 约208米,距邦普循环科技园 约335米",112.672034,28.276458
